#B-V  V
       1.3863469       14.624630
       1.4929997       15.257940
       1.1015476       12.320733
      0.59667379       9.5075201
       1.3637232       16.052586
      0.92764172       11.300479
       1.3987603       15.852173
      0.79398234       11.025301
      0.56278436       9.4068838
      0.92863002       11.584162
       1.5957244       16.205034
       1.5628089       16.075906
       1.5719502       16.139563
       1.0155675       12.110677
       1.5664504       15.728281
       1.9624953       5.1252760
       1.2768235       7.8498289
       1.2128530       12.865151
       1.3566920       14.419376
       1.6429475       16.157660
      0.68000787       9.8591359
      0.84470241       10.599283
       1.1382591       12.676506
       1.8717520       5.7071568
      0.75814847       11.346020
       1.6818428       15.640424
       1.4662400       15.059444
       1.5862295       14.950024
      0.56755730       9.0491942
      0.80283569       10.515379
      0.69519871       10.418846
       1.2571147       13.284824
      0.67208613       9.9218178
       1.1346880       13.601060
       1.6125115       16.065093
       1.2242574       8.1401172
       1.1502203       13.008025
       1.1313602       12.728732
       1.4355470       15.890582
       1.6032406       15.711116
       1.4462318       14.527310
       1.4241321       14.582781
      0.98361244       12.066289
       1.4971299       15.196202
       1.0419371       12.074048
      0.79698543       10.697239
       1.1386705       13.328354
       1.6708004       15.681467
       1.4166970       15.316249
      0.69210840       9.8865432
      0.67503376       10.046995
       1.3567549       15.070823
      0.95933192       12.295108
      0.55471669       8.6353773
       1.4230406       14.826628
       1.3067436       15.144740
      0.89198219       11.088611
      0.61743628       8.7037027
       1.4892811       16.002765
      0.56638454       9.1849163
       1.5587679       15.542279
       1.5915572       15.281875
       1.4177501       15.175864
      0.72959952       9.8320821
       1.4128856       15.111947
      0.78329891       10.872378
       1.0262333       12.151004
       1.7200484       15.558066
       1.5521782       15.277903
      0.51508659       9.5283612
       1.2549252       13.716682
      0.69951200       10.413337
       1.0635001       12.577762
       1.3082458       7.9522404
      0.91573869       11.773943
       1.5778252       14.387521
      0.65442732       8.2923478
       1.4873155       15.458502
       1.5480015       16.018655
       1.0016070       11.998818
       1.4649478       16.188961
      0.69584509       10.356529
       1.5333720       15.721461
       1.5353686       15.729628
       1.6191711       16.171325
      0.75961331       10.442035
       1.4495783       14.694781
      0.87114009       11.181395
       1.1010141       13.041748
       1.4266713       13.810859
       1.6035846       15.764563
       1.1274716       12.398218
       1.3951901       14.946930
       1.1802029       12.597092
      0.58423259       8.9708835
       1.4973047       14.918916
      0.61312383       10.152261
       1.1604612       12.476342
       1.1120746       12.774505
       1.6068716       16.084239
      0.58699259       8.4828016
       1.4390297       14.729653
      0.88089419       11.585992
      0.47949867       8.7208676
      0.94799694       11.690526
       1.5621016       15.548141
       1.2746822       14.720574
       1.5600951       15.752804
       1.2985718       13.376462
       1.2778729       13.966774
       1.1188837       12.541791
       1.3622966       14.811947
      0.57594539       8.7967713
       1.4413442       14.391829
       1.3137667       14.355133
       1.4599917       15.258321
      0.60705766       9.9264415
       1.2624846       13.068779
       1.2354397       13.702799
      0.54994839       8.3910965
