Age, Slope, Intercept, Slope_Error, Intercept_Error, R_Value, Ajustadas/Total 
8.8, 5.763548476395306, 0.9286459686406445, 0.028295307708623756, 0.019515422306864934, 0.9998433752981567, 0.5769230769230769= 15/26
8.7, 5.729506671534393, 0.9775099454736025, 0.021839403173704763, 0.014369726157400226, 0.999883785224549, 0.6428571428571429= 18/28
8.6, 5.6520667361367884, 1.0499435275135296, 0.02117007790767732, 0.015502036451011652, 0.9999158359220258, 0.4827586206896552= 14/29
8.5, 5.605706591956914, 1.1058220566035182, 0.02051117822475007, 0.015053211318889967, 0.9999129883985172, 0.5= 15/30
8.4, 5.5840537464130815, 1.1286348920005178, 0.02360416553429921, 0.01813027676191353, 0.999857085924932, 0.5454545454545454= 18/33
8.3, 5.556921607830267, 1.1523114798125977, 0.026135506179409615, 0.02000604286591071, 0.9997788692093927, 0.6285714285714286= 22/35
8.2, 5.576210811587656, 1.1401628102736772, 0.03316427944744157, 0.02591506800452591, 0.9996641328507473, 0.525= 21/40
8.1, 5.852976658798846, 0.9257726199842642, 0.10243651964472998, 0.08203331684500285, 0.9981672127165505, 0.2857142857142857= 14/49
8.0, 5.586618152415606, 1.1464503739640186, 0.0290912589235299, 0.021472986592606106, 0.9997424966479829, 0.5= 21/42
7.9, 5.618245481215103, 1.1315579784134329, 0.033022776645438824, 0.023539740997840113, 0.9997064693699196, 0.4318181818181818= 19/44
7.8, 5.751277683134583, 1.0165076660988075, 0.05262307293179996, 0.039878039309492574, 0.9994144820470491, 0.3333333333333333= 16/48
7.7, 5.6911143441762055, 1.0698673492410506, 0.05586404838783842, 0.043693638479524136, 0.9993742861338669, 0.3= 15/50
7.6, 5.732204959037759, 1.0368847688920342, 0.0690219743103587, 0.05398500967424263, 0.9990589097178889, 0.29411764705882354= 15/51
7.5, 6.081926190268954, 0.8279680564017755, 0.1180565970902544, 0.0781446798152057, 0.9983087496266453, 0.1896551724137931= 11/58
7.4, 6.162405344242319, 0.7722615110105315, 0.13436230485513803, 0.08893784465183921, 0.997867564063971, 0.1864406779661017= 11/59
7.3, 6.180740534878251, 0.759573187677705, 0.1363858170988566, 0.09030441540465833, 0.9978160365371235, 0.18032786885245902= 11/61
7.2, 6.424377349774806, 0.5737009995765585, 0.12291380434904185, 0.079882798063157, 0.9983568383142916, 0.16923076923076924= 11/65
