Full, log(Age), M,log(Teff),Mbol, Mv,(U-B)o,(B-V)o,(V-R)o,(V-I)o,(V-J)o
128,10.280,0.7150,3.663,6.49,7.00,0.80,1.07,0.64,1.18,1.92
129,10.280,0.7300,3.673,6.34,6.79,0.74,1.03,0.61,1.13,1.83
130,10.280,0.7450,3.682,6.18,6.57,0.68,0.99,0.58,1.08,1.75
131,10.280,0.7600,3.691,6.02,6.35,0.62,0.95,0.55,1.02,1.66
132,10.280,0.7750,3.701,5.85,6.12,0.56,0.91,0.52,0.97,1.58
133,10.280,0.7900,3.710,5.66,5.89,0.50,0.88,0.49,0.93,1.50
134,10.280,0.8050,3.719,5.48,5.67,0.44,0.85,0.47,0.89,1.43
135,10.280,0.8200,3.725,5.30,5.47,0.39,0.82,0.46,0.86,1.38
136,10.280,0.8350,3.731,5.09,5.25,0.35,0.80,0.44,0.84,1.34
137,10.280,0.8471,3.734,4.91,5.06,0.33,0.78,0.43,0.82,1.32
138,10.280,0.8566,3.735,4.76,4.90,0.32,0.78,0.43,0.82,1.31
139,10.280,0.8654,3.733,4.60,4.75,0.34,0.79,0.44,0.83,1.32
140,10.280,0.8737,3.726,4.44,4.61,0.39,0.82,0.45,0.86,1.38
141,10.280,0.8815,3.700,4.28,4.56,0.57,0.93,0.51,0.96,1.57
142,10.280,0.8824,3.694,4.26,4.56,0.62,0.95,0.52,0.99,1.62
143,10.280,0.8846,3.681,4.07,4.44,0.71,1.00,0.56,1.05,1.73
144,10.280,0.8850,3.679,4.02,4.40,0.73,1.01,0.57,1.06,1.75
145,10.280,0.8860,3.676,3.87,4.27,0.75,1.03,0.58,1.08,1.78
146,10.280,0.8870,3.674,3.69,4.11,0.77,1.04,0.58,1.09,1.80
147,10.280,0.8878,3.672,3.53,3.95,0.79,1.05,0.59,1.10,1.81
148,10.280,0.8886,3.671,3.34,3.77,0.81,1.06,0.59,1.10,1.83
149,10.280,0.8892,3.669,3.19,3.63,0.83,1.07,0.59,1.11,1.84
150,10.280,0.8898,3.667,3.01,3.46,0.84,1.07,0.60,1.12,1.85
151,10.280,0.8903,3.666,2.85,3.30,0.86,1.08,0.60,1.13,1.87
