Age,Slope,Intercept,Slope_Error,Intercept_Error,R_Value,(B-V)TurnOff,MvTurnOff, Ajustadas/Total
7.9, 5.675793520998686, 1.0956840450261756, 0.06038481476254275, 0.03458052289640326, 0.998419117714059, -0.15, -0.87, 0.6818181818181818= 30/44
7.8, 5.827564512701267, 0.9834005943860529, 0.08121553610999777, 0.04586318153885323, 0.9971955858728903, -0.17, -1.25, 0.6458333333333334= 31/48
7.7, 5.917795896677457, 0.9124789279757732, 0.08910289820005782, 0.05031699503222008, 0.9967288784858771, -0.18, -1.44, 0.62= 31/50
7.6, 5.962669349773773, 0.9298042784449949, 0.10020870444824789, 0.048342888644027776, 0.9962087019921169, -0.19, -1.51, 0.5686274509803921= 29/51
7.5, 6.482948517393976, 0.6253677283487271, 0.1352331477486931, 0.060382617438310617, 0.9941769752417843, -0.21, -2.41, 0.5= 29/58
7.4, 6.474775938898071, 0.6332802367906707, 0.1334814039248053, 0.058811650067903405, 0.9941025406602167, -0.22, -2.34, 0.5084745762711864= 30/59
7.3, 6.477441697909387, 0.6331340153777718, 0.13424540930115952, 0.05838094708141317, 0.9938294260554869, -0.23, -2.49, 0.5081967213114754= 31/61
7.2, 6.70424212613096, 0.444126891144599, 0.1450677725753056, 0.06500243455389366, 0.9939682595672158, -0.24, -3.14, 0.4307692307692308= 28/65
7.1, 6.720505192504481, 0.4357129694648063, 0.1483438781555211, 0.06559254764614195, 0.9934865682713703, -0.25, -3.08, 0.4393939393939394= 29/66
7.0, 6.588678288556764, 0.5250801814102635, 0.13995334907330023, 0.06168741507639864, 0.9939638827008354, -0.25, -2.74, 0.453125= 29/64
6.9, 7.523674876187934, 0.21822513719716274, 0.30467239875896096, 0.09319760283583954, 0.9793401936663683, -0.27, -3.52, 0.4827586206896552= 28/58
6.8, 7.622491182455968, 0.16692633853883834, 0.31511682810404973, 0.0974244788347807, 0.9784966537133464, -0.28, -3.94, 0.4745762711864407= 28/59
6.7, 7.854944949982922, 0.06165786821548824, 0.344708930368526, 0.10652379770134894, 0.9740819327697111, -0.29, -4.32, 0.4838709677419355= 30/62
6.6, 7.651395660102947, 0.14759611379862947, 0.3088720629803823, 0.09658118754372415, 0.9794657061602078, -0.29, -3.9, 0.4666666666666667= 28/60
