  ID     REF  V        B-V
 0522   248  18.110   0.660
 0523   248  19.350   0.890
 0524   248  20.390   1.110
 0525   248  19.330   0.930
 0526   248  19.680   0.920
 0527   248  17.840   0.720
 0528   248  17.460   0.530
 0529   248  20.430   1.410
 0530   248  17.560   1.070
 0531   248  20.360   0.920
 0532   248  20.930   1.040
 0533   248  21.060   1.190
 0534   248  17.950   0.760
 0535   248  18.950   0.840
 0536   248  21.220   0.880
 0537   248  18.840   0.840
 0538   248  19.790   1.650
 0539   248  20.880   1.190
 0540   248  19.680   0.940
 0541   248  19.650   1.000
 0542   248  18.070   1.140
 0543   248  19.980   1.500
 0544   248  20.200   1.000
 0545   248  20.790   1.050
 0546   248  17.210   0.520
 0547   248  18.940   0.820
 0548   248  19.220   0.970
 0549   248  20.590   1.060
 0550   248  19.920   0.960
 0551   248  18.320   0.800
 0552   248  20.640   1.180
 0553   248  19.280   0.930
 0554   248  19.350   0.980
 0555   248  20.060   0.950
 0556   248  18.750   1.280
 0557   248  20.130   1.090
 0558   248  15.640   0.560
 0559   248  18.090   0.660
 0560   248  19.930   1.070
 0561   248  19.520   1.420
 0562   248  17.920   0.570
 0563   248  20.720   1.100
 0564   248  18.980   0.980
 0565   248  19.110   1.680
 0566   248  18.830   1.270
 0567   248  18.620   0.990
 0568   248  20.920   1.220
 0569   248  20.510   1.200
 0570   248  20.640   1.010
 0571   248  19.470   0.910
 0572   248  19.520   1.080
 0573   248  20.320   1.160
 0574   248  19.440   1.210
 0575   248  20.660   1.220
 0576   248  18.960   0.790
 0577   248  18.090   0.840
 0578   248  20.300   1.230
 0579   248  19.600   1.100
 0580   248  17.790   0.970
 0581   248  18.910   1.420
 0582   248  19.960   1.010
 0583   248  19.030   1.070
 0584   248  20.410   1.670
 0585   248  20.430   1.050
 0586   248  18.850   0.840
 0587   248  19.590   1.070
 0588   248  19.780   1.030
 0589   248  18.450   0.860
 0590   248  18.120   0.870
 0591   248  19.380   1.290
 0592   248  20.100   0.970
 0593   248  21.030   0.980
 0594   248  17.710   0.920
 0595   248  16.860   0.930
 0596   248  18.720   0.970
 0597   248  19.470   0.960
 0598   248  19.410   1.080
 0599   248  15.820   1.580
 0600   248  18.250   0.950
 0601   248  19.910   1.090
 0602   248  20.650   1.050
 0603   248  17.990   0.670
 0604   248  19.320   0.930
 0605   248  20.600   0.910
 0606   248  19.770   0.940
 0607   248  17.900   0.650
 0608   248  20.010   0.950
 0609   248  18.280   0.850
 0610   248  15.880   0.690
 0611   248  18.270   0.890
 0612   248  21.160   1.190
 0613   248  18.600   0.730
 0614   248  17.540   0.570
 0615   248  19.390   0.980
 0616   248  15.420   1.750
 0617   248  20.760   1.240
 0618   248  19.520   0.930
 0619   248  20.080   1.130
 0620   248  18.330   0.860
 0621   248  18.700   0.950
 0622   248  19.390   1.010
 0623   248  20.290   0.970
 0624   248  20.920   1.270
 0625   248  18.120   0.700
 0626   248  19.660   0.960
 0627   248  17.680   0.830
 0628   248  18.440   0.870
 0629   248  19.250   0.910
 0630   248  18.170   1.580
 0631   248  16.910   0.520
 0632   248  20.640   1.220
 0633   248  21.050   1.190
 0634   248  19.660   0.850
 0635   248  19.890   1.420
 0636   248  19.180   0.960
 0637   248  20.480   1.090
 0638   248  20.150   0.870
 0639   248  20.000   1.440
 0640   248  19.660   0.880
 0641   248  19.180   0.940
 0642   248  19.360   0.860
 0643   248  20.070   1.050
 0644   248  19.430   0.920
 0645   248  18.900   0.900
 0646   248  20.840   1.160
 0647   248  17.270   0.940
 0648   248  19.870   1.030
 0649   248  21.110   1.100
 0650   248  18.880   1.100
 0651   248  18.020   0.910
 0652   248  17.680   0.600
 0653   248  18.340   0.660
 0654   248  20.340   1.040
 0655   248  19.090   0.840
 0656   248  18.860   0.960
 0657   248  19.770   0.920
 0658   248  19.580   0.900
