ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b
114.6442735723521,21.53446544109379,-1.3004865707951243,0.027703544,-2.0458172271251778,0.024280958,0.5723028,14.775511,0.3424583161543281,0.026439235,,,198.16346296061835,19.66095892977449
114.60963229746208,21.521049726160925,-1.1568592846743764,0.024954297,-2.105348961980367,0.020637507,0.6149559,14.573254,0.42612649010772746,0.022734601,,,198.163650423363,19.62605361112294
114.61157706782261,21.520301162069885,-1.2803121418713088,0.03770895,-2.0845195627582136,0.031048968,0.6044073,15.272656,0.3977159189256214,0.035034396,,,198.16511507420452,19.627442980393248
114.62954578190487,21.542127185908956,-1.177942833978984,0.10838475,-2.088978552373065,0.09433285,0.99310875,17.539095,0.4340659427132825,0.098759815,,,198.1504143455814,19.65119295607142
114.61398586534573,21.54442943669647,-1.2585415724499402,0.045396786,-2.082232415691024,0.03876406,0.6826916,15.893654,0.41846961472722655,0.040971838,,,198.14231926522024,19.638677302124492
114.63305586678709,21.552663728710048,-1.1238069340845007,0.17681496,-1.9707881586833285,0.16328347,1.2481804,18.4724,0.4041551312097022,0.16730414,,,198.1413789139935,19.65821253379747
114.6354878988709,21.554538223878037,-1.2012408251408964,0.06006628,-2.1054923181621845,0.051956974,0.74596024,16.532822,0.36506561805804205,0.0540555,,,198.1404488495826,19.661016661341243
114.62870495272671,21.55857425823969,-1.2059260770407982,0.055734478,-2.030968522991674,0.048417892,0.7484665,16.353384,0.3848253927641595,0.05247412,,,198.13394139072122,19.656711703154446
114.62323783396099,21.553549309463097,-1.2364996598662326,0.049358632,-2.1458112922355133,0.04190197,0.6744852,15.852566,0.38879286890636305,0.044989638,,,198.1368288445792,19.65010031827366
114.65975729893339,21.560760987539364,-1.2334453387656552,0.050329134,-1.9300536911114126,0.043215968,0.7302742,16.181305,0.39415999528755824,0.04562772,,,198.14342970957173,19.684261587231415
114.65670567977473,21.5699600373629,-1.2880030167808272,0.015438893,-1.9208315456688672,0.012678584,1.1534262,12.321694,0.4068340526695107,0.01402061,72.240036,0.78664255,198.13324655951504,19.68512531393658
114.66059913230912,21.574200871448248,-1.1913719264497562,0.039985374,-1.9282004499499292,0.03397471,0.6557598,15.65809,0.421420782334888,0.036054693,,,198.13053765459125,19.690084054488764
114.65182772862607,21.572623110985482,-1.1957780395782616,0.026009293,-1.981512131604366,0.0217151,0.60059357,14.650308,0.3438370960498724,0.022925343,,,198.12880206863977,19.68193822089536
114.6628175814096,21.578466228895255,-1.2627910020934514,0.049590267,-2.0607183876267827,0.046651285,0.80297375,16.016771,0.3304383682765418,0.04342724,,,198.127176875965,19.693610646913815
114.53885603725406,21.516324820328773,-1.2563109669736794,0.027004177,-2.083109370304916,0.022203507,0.585783,14.772382,0.41733339614670917,0.024576318,,,198.14173693858788,19.563352462759873
114.58204454752428,21.519618427069144,-1.2282260138279546,0.03796879,-2.131053659566396,0.03149541,0.6349983,15.529346,0.40252524724892413,0.034735147,,,198.15470746344099,19.60176879255599
114.55487689524304,21.531234853425843,-1.2823132284843688,0.024179583,-1.9644313006780256,0.018326368,1.0463343,14.336696,0.38813067933072876,0.02035682,74.84802,3.7104688,198.1331102391678,19.582803944248315
