Age,Slope,Intercept,Slope_Error,Intercept_Error,R_Value,(B-V)TurnOff,MvTurnOff, Ajustadas/Total
8.7, 5.757311652220365, 0.9720305057583829, 0.020283231373070098, 0.011588412867407577, 0.9999069244871167, 0.06, 0.79, 0.6071428571428571= 17/28
8.6, 5.6632271078612035, 1.0521929126985654, 0.019316581240918954, 0.011599974171838098, 0.9999360186231839, 0.0, 0.63, 0.4482758620689655= 13/29
8.5, 5.615219260533105, 1.097691315563198, 0.02360578191222039, 0.011232814072018201, 0.9999116481214264, -0.04, 0.52, 0.4= 12/30
8.4, 5.65279524754876, 1.0890584509069958, 0.018709856884522463, 0.011842446317417987, 0.999934276171372, -0.07, 0.16, 0.42424242424242425= 14/33
8.3, 5.641807607735148, 1.0998125809169563, 0.02147390061722899, 0.01326813683679996, 0.9999058463087364, -0.09, -0.03, 0.42857142857142855= 15/35
8.2, 5.791915811393724, 1.022208909712925, 0.04813623996310123, 0.025368134756016902, 0.9996893224049401, -0.12, -0.7, 0.275= 11/40
8.1, 6.344256661772516, 0.5922559432695014, 0.1106205025488376, 0.061324578558691854, 0.9990891699464463, -0.14, -1.85, 0.16326530612244897= 8/49
8.0, 5.686100227517109, 1.107006096350958, 0.026317804783468672, 0.01303046979281933, 0.9998500761708359, -0.14, -0.78, 0.38095238095238093= 16/42
7.9, 5.803012149375736, 1.0310564917977714, 0.049330815494236194, 0.026020813688940946, 0.9996027778181297, -0.15, -0.87, 0.29545454545454547= 13/44
7.8, 5.909141616130448, 0.9425898674388531, 0.04690661630331002, 0.027805279149653504, 0.999811019259843, -0.17, -1.25, 0.16666666666666666= 8/48
7.7, 5.997243929667876, 0.8850362824448781, 0.0616110001069121, 0.034488955175776784, 0.999578111023691, -0.18, -1.44, 0.2= 10/50
7.6, 6.007868104982207, 0.8810470418149468, 0.06575030034037066, 0.035202795873155626, 0.999461462090746, -0.19, -1.51, 0.21568627450980393= 11/51
7.5, 6.374373155854295, 0.6261219683236963, 0.08514641211827881, 0.04203144445032665, 0.999376093951553, -0.21, -2.41, 0.15517241379310345= 9/58
7.4, 6.337754872514124, 0.6548696693438483, 0.08291741068485518, 0.04093112621497342, 0.9994014525608914, -0.22, -2.34, 0.15254237288135594= 9/59
7.3, 6.376165917534881, 0.6273655460001557, 0.07123783797711661, 0.03526332943867513, 0.9995633979275546, -0.23, -2.49, 0.14754098360655737= 9/61
7.2, 6.602038779227909, 0.46376462955106934, 0.08389867420005225, 0.04180365978486312, 0.9994352528118614, -0.24, -3.14, 0.13846153846153847= 9/65
7.1, 6.613554869173146, 0.4914328824510954, 0.09219633509452035, 0.04115923621775329, 0.9994174958127091, -0.25, -3.08, 0.12121212121212122= 8/66
7.0, 6.443026931344036, 0.5813105323049699, 0.06758427520567829, 0.033600103175136696, 0.9996151170371008, -0.25, -2.74, 0.140625= 9/64
6.9, 7.021726433827825, 0.35367130008176606, 0.18314873535982115, 0.05961015392830316, 0.9976273139742365, -0.27, -3.52, 0.15517241379310345= 9/58
6.8, 7.190194038626804, 0.25263829209824046, 0.1639158296630125, 0.05432352940500851, 0.9981859651532041, -0.28, -3.94, 0.15254237288135594= 9/59
6.7, 7.317415730337079, 0.179870786516854, 0.18790649632713852, 0.06110284725781306, 0.9973726741191306, -0.29, -4.32, 0.16129032258064516= 10/62
6.6, 7.236651947009232, 0.22376622507694358, 0.16771844335779648, 0.05603179542352421, 0.9981253002367743, -0.29, -3.9, 0.15= 9/60
