Full,log(Age),M,log(Teff),Mbol,Mv,(U-B)o,(B-V)o,(V-R)o,(V-I)o,(V-J)o
699,10.2,0.7374,3.6,-1.06,-0.06,1.73,1.5,0.81,1.52,2.57
700,10.2,0.7374,3.591,-1.28,-0.19,1.76,1.52,0.83,1.62,2.67
701,10.2,0.7374,3.582,-1.49,-0.31,1.79,1.54,0.86,1.71,2.78
702,10.2,0.7374,3.57,-1.78,-0.44,1.82,1.56,0.91,1.88,2.97
703,10.2,0.7374,3.557,-2.0,-0.35,1.81,1.58,1.0,2.14,3.29
704,10.2,0.7374,3.542,-2.3,-0.26,1.78,1.59,1.1,2.44,3.69
705,10.2,0.7374,3.538,-2.36,-0.17,1.74,1.59,1.13,2.54,3.87
706,10.2,0.7375,3.525,-2.57,0.14,1.6,1.6,1.24,2.84,4.42
707,10.2,0.7375,3.513,-2.77,0.42,1.46,1.61,1.34,3.13,4.95
708,10.2,0.7375,3.5,-2.99,0.5,1.43,1.61,1.38,3.33,5.3
709,10.2,0.7375,3.488,-3.19,0.57,1.41,1.61,1.4,3.52,5.6
710,10.2,0.7375,3.476,-3.38,0.68,1.38,1.62,1.43,3.72,5.93
711,10.2,0.7375,3.462,-3.58,0.77,1.36,1.62,1.46,3.93,6.27
712,10.2,0.7375,3.45,-3.78,0.85,1.34,1.62,1.49,4.12,6.58
713,10.2,0.7375,3.438,-3.97,0.93,1.31,1.62,1.51,4.31,6.89
714,10.2,0.7375,3.436,-4.01,0.95,1.31,1.62,1.52,4.35,6.96
748,10.18,0.6,3.595,7.63,8.66,1.1,1.35,0.85,1.64,2.6
749,10.18,0.62,3.606,7.45,8.42,1.05,1.32,0.82,1.55,2.52
750,10.18,0.64,3.617,7.28,8.16,1.02,1.28,0.8,1.48,2.4
751,10.18,0.66,3.627,7.1,7.89,1.0,1.23,0.77,1.41,2.29
752,10.18,0.68,3.638,6.92,7.62,0.94,1.18,0.74,1.34,2.18
753,10.18,0.7,3.649,6.74,7.35,0.88,1.13,0.7,1.27,2.06
754,10.18,0.72,3.66,6.56,7.09,0.82,1.08,0.66,1.2,1.95
755,10.18,0.74,3.672,6.37,6.82,0.74,1.03,0.61,1.13,1.84
756,10.18,0.76,3.683,6.18,6.56,0.67,0.99,0.57,1.07,1.74
757,10.18,0.775,3.692,6.03,6.35,0.61,0.95,0.54,1.02,1.65
758,10.18,0.79,3.701,5.87,6.15,0.56,0.91,0.52,0.97,1.57
759,10.18,0.805,3.709,5.72,5.95,0.5,0.88,0.5,0.93,1.51
760,10.18,0.82,3.717,5.57,5.77,0.45,0.85,0.48,0.89,1.45
761,10.18,0.835,3.724,5.41,5.58,0.4,0.82,0.46,0.86,1.39
762,10.18,0.85,3.731,5.24,5.4,0.36,0.8,0.44,0.84,1.35
763,10.18,0.865,3.736,5.07,5.21,0.32,0.77,0.43,0.81,1.3
