Full,log(Age),M,log(Teff),Mbol,Mv,(U-B)o,(B-V)o,(V-R)o,(V-I)o,(V-J)o
1329,10.1,0.9953,3.537,-2.34,-0.1,1.72,1.59,1.14,2.57,3.92
1330,10.1,0.9954,3.527,-2.56,0.07,1.62,1.6,1.22,2.8,4.34
1331,10.1,0.9954,3.515,-2.81,0.29,1.49,1.61,1.32,3.08,4.86
1332,10.1,0.9954,3.497,-3.09,0.49,1.42,1.61,1.38,3.39,5.39
1333,10.1,0.9954,3.479,-3.41,0.58,1.39,1.62,1.42,3.67,5.85
1334,10.1,0.9954,3.459,-3.71,0.71,1.35,1.62,1.47,3.97,6.35
1335,10.1,0.8152,3.658,0.65,1.14,1.03,1.16,0.61,1.15,1.93
1336,10.1,0.8153,3.654,0.55,1.06,1.07,1.18,0.62,1.17,1.97
1337,10.1,0.8173,3.663,0.58,1.04,1.0,1.14,0.6,1.13,1.89
1338,10.1,0.8181,3.658,0.42,0.91,1.04,1.17,0.61,1.15,1.93
1339,10.1,0.8184,3.652,0.26,0.79,1.12,1.2,0.63,1.18,1.99
1340,10.1,0.8185,3.646,0.09,0.68,1.18,1.23,0.65,1.22,2.05
1341,10.1,0.8186,3.639,-0.09,0.54,1.26,1.27,0.67,1.26,2.12
1342,10.1,0.8187,3.633,-0.25,0.43,1.34,1.3,0.69,1.29,2.18
1343,10.1,0.8187,3.622,-0.54,0.24,1.48,1.37,0.73,1.36,2.3
1344,10.1,0.8187,3.598,-1.13,-0.11,1.73,1.5,0.81,1.55,2.59
1345,10.1,0.8187,3.598,-1.15,-0.12,1.73,1.5,0.81,1.55,2.6
1346,10.1,0.8187,3.605,-0.92,0.03,1.68,1.47,0.79,1.48,2.5
1347,10.1,0.8187,3.613,-0.76,0.11,1.59,1.42,0.76,1.43,2.41
1348,10.1,0.8187,3.613,-0.76,0.11,1.59,1.42,0.76,1.43,2.41
1349,10.1,0.8188,3.605,-0.93,0.02,1.68,1.47,0.79,1.48,2.5
1350,10.1,0.8189,3.599,-1.11,-0.1,1.73,1.5,0.81,1.53,2.58
1351,10.1,0.8189,3.593,-1.29,-0.21,1.75,1.52,0.83,1.6,2.65
1352,10.1,0.8189,3.587,-1.45,-0.31,1.78,1.53,0.85,1.67,2.73
1353,10.1,0.819,3.578,-1.65,-0.43,1.81,1.55,0.88,1.76,2.83
1354,10.1,0.819,3.563,-1.95,-0.43,1.82,1.57,0.96,2.02,3.14
1355,10.1,0.819,3.55,-2.16,-0.35,1.8,1.58,1.04,2.28,3.46
1356,10.1,0.819,3.538,-2.41,-0.2,1.73,1.59,1.13,2.55,3.88
1357,10.1,0.819,3.536,-2.43,-0.17,1.72,1.6,1.14,2.58,3.95
1358,10.1,0.819,3.526,-2.61,0.08,1.6,1.6,1.24,2.83,4.41
1359,10.1,0.819,3.516,-2.79,0.28,1.5,1.61,1.31,3.05,4.82
1360,10.1,0.819,3.505,-2.96,0.43,1.44,1.61,1.37,3.26,5.19
1361,10.1,0.819,3.495,-3.14,0.48,1.42,1.61,1.39,3.42,5.44
1362,10.1,0.819,3.485,-3.3,0.54,1.4,1.62,1.41,3.58,5.69
1363,10.1,0.819,3.473,-3.46,0.64,1.38,1.62,1.44,3.76,5.99
1364,10.1,0.819,3.464,-3.6,0.71,1.36,1.62,1.46,3.9,6.22
1365,10.1,0.819,3.454,-3.77,0.77,1.34,1.62,1.48,4.06,6.48
1366,10.1,0.819,3.444,-3.93,0.84,1.32,1.62,1.5,4.22,6.74
1367,10.1,0.8191,3.434,-4.1,0.91,1.3,1.62,1.52,4.38,7.0
1368,10.1,0.8191,3.423,-4.26,0.98,1.28,1.63,1.55,4.54,7.27
1369,10.1,0.8191,3.419,-4.32,1.01,1.28,1.63,1.56,4.61,7.38
1401,10.08,0.6,3.593,7.66,8.7,1.11,1.36,0.86,1.66,2.61
1402,10.08,0.62,3.603,7.5,8.48,1.06,1.33,0.83,1.57,2.55
1403,10.08,0.64,3.614,7.33,8.23,1.03,1.29,0.81,1.5,2.43
1404,10.08,0.66,3.624,7.16,7.97,1.0,1.25,0.78,1.43,2.32
1405,10.08,0.68,3.634,6.99,7.71,0.96,1.2,0.75,1.36,2.21
1406,10.08,0.7,3.645,6.81,7.45,0.9,1.15,0.71,1.3,2.1
1407,10.08,0.72,3.656,6.64,7.2,0.85,1.1,0.68,1.23,2.0
1408,10.08,0.74,3.666,6.47,6.96,0.78,1.06,0.63,1.17,1.89
1409,10.08,0.76,3.677,6.29,6.7,0.71,1.01,0.59,1.1,1.79
1410,10.08,0.78,3.688,6.11,6.45,0.64,0.96,0.56,1.04,1.69
1411,10.08,0.8,3.7,5.92,6.2,0.56,0.92,0.52,0.98,1.58
1412,10.08,0.82,3.709,5.74,5.98,0.5,0.88,0.5,0.93,1.51
1413,10.08,0.84,3.719,5.56,5.75,0.44,0.84,0.47,0.88,1.43
1414,10.08,0.86,3.728,5.37,5.53,0.37,0.81,0.45,0.85,1.36
1415,10.08,0.88,3.737,5.17,5.3,0.31,0.77,0.43,0.81,1.3
1416,10.08,0.895,3.742,5.01,5.14,0.28,0.75,0.41,0.79,1.26
1417,10.08,0.915,3.747,4.82,4.93,0.25,0.73,0.41,0.77,1.23
1418,10.08,0.935,3.751,4.61,4.72,0.22,0.72,0.4,0.76,1.21
1419,10.08,0.9392,3.753,4.54,4.64,0.21,0.71,0.4,0.76,1.19
1420,10.08,0.953,3.752,4.36,4.46,0.21,0.71,0.4,0.76,1.19
1421,10.08,0.965,3.75,4.2,4.31,0.23,0.72,0.4,0.76,1.21
1422,10.08,0.9759,3.744,4.05,4.17,0.27,0.75,0.41,0.79,1.25
1423,10.08,0.9868,3.717,3.95,4.15,0.45,0.86,0.47,0.89,1.44
1424,10.08,0.9886,3.708,3.94,4.18,0.52,0.9,0.49,0.93,1.51
1425,10.08,0.9926,3.687,3.8,4.14,0.67,0.98,0.55,1.02,1.68
1426,10.08,0.9928,3.686,3.79,4.14,0.68,0.98,0.55,1.03,1.69
1427,10.08,0.9946,3.681,3.62,3.99,0.72,1.01,0.56,1.05,1.73
1428,10.08,0.996,3.679,3.45,3.83,0.74,1.02,0.57,1.06,1.76
1429,10.08,0.9972,3.677,3.28,3.67,0.76,1.03,0.57,1.07,1.77
1430,10.08,0.9984,3.675,3.1,3.5,0.78,1.04,0.57,1.08,1.79
1431,10.08,0.9994,3.673,2.92,3.34,0.8,1.05,0.58,1.09,1.8
1432,10.08,1.0002,3.671,2.75,3.18,0.82,1.06,0.58,1.1,1.82
1433,10.08,1.001,3.669,2.59,3.02,0.84,1.07,0.59,1.11,1.84
1434,10.08,1.0016,3.667,2.44,2.88,0.86,1.08,0.59,1.11,1.85
1435,10.08,1.0022,3.665,2.28,2.73,0.88,1.09,0.6,1.12,1.87
1436,10.08,1.0027,3.663,2.12,2.58,0.9,1.1,0.61,1.13,1.89
1437,10.08,1.0032,3.66,1.94,2.42,0.93,1.12,0.61,1.15,1.91
1438,10.08,1.0036,3.658,1.79,2.29,0.96,1.13,0.62,1.16,1.94
1439,10.08,1.004,3.655,1.62,2.14,0.99,1.15,0.63,1.17,1.96
1440,10.08,1.0044,3.653,1.5,2.03,1.01,1.16,0.63,1.18,1.98
1441,10.08,1.0047,3.654,1.55,2.07,1.0,1.15,0.63,1.18,1.97
1442,10.08,1.005,3.651,1.39,1.93,1.03,1.17,0.64,1.19,2.0
1443,10.08,1.0053,3.648,1.23,1.8,1.07,1.19,0.65,1.21,2.03
1444,10.08,1.0056,3.645,1.07,1.66,1.11,1.2,0.66,1.23,2.06
1445,10.08,1.0059,3.642,0.89,1.5,1.15,1.22,0.67,1.25,2.09
1446,10.08,1.0061,3.638,0.74,1.38,1.19,1.24,0.68,1.27,2.13
1447,10.08,1.0063,3.635,0.57,1.24,1.24,1.26,0.69,1.29,2.16
1448,10.08,1.0064,3.63,0.39,1.09,1.29,1.29,0.7,1.32,2.21
1449,10.08,1.0065,3.626,0.23,0.97,1.34,1.31,0.72,1.34,2.25
1450,10.08,1.0067,3.622,0.05,0.83,1.39,1.34,0.73,1.37,2.3
1451,10.08,1.0068,3.618,-0.1,0.71,1.45,1.36,0.74,1.39,2.34
1452,10.08,1.0069,3.613,-0.29,0.58,1.51,1.39,0.76,1.43,2.4
1453,10.08,1.0069,3.609,-0.46,0.45,1.58,1.42,0.77,1.46,2.46
1454,10.08,1.007,3.604,-0.66,0.31,1.65,1.46,0.79,1.49,2.52
1455,10.08,1.0071,3.599,-0.82,0.19,1.7,1.49,0.81,1.54,2.58
1456,10.08,1.0071,3.593,-1.01,0.06,1.74,1.51,0.83,1.6,2.65
1457,10.08,1.0072,3.585,-1.23,-0.08,1.77,1.53,0.85,1.68,2.75
1458,10.08,1.0072,3.577,-1.4,-0.18,1.8,1.55,0.88,1.77,2.84
1459,10.08,1.0073,3.57,-1.59,-0.24,1.81,1.56,0.91,1.87,2.97
1460,10.08,1.0073,3.562,-1.8,-0.26,1.81,1.57,0.97,2.04,3.17
1461,10.08,1.0074,3.55,-2.07,-0.25,1.8,1.58,1.04,2.28,3.46
1462,10.08,1.0074,3.536,-2.38,-0.09,1.71,1.6,1.15,2.59,3.96
1463,10.08,1.0074,3.528,-2.57,0.04,1.62,1.6,1.22,2.79,4.32
1464,10.08,1.0074,3.518,-2.78,0.22,1.51,1.61,1.3,3.02,4.75
1465,10.08,1.0075,3.505,-3.01,0.38,1.44,1.61,1.37,3.26,5.18
1466,10.08,1.0075,3.488,-3.28,0.5,1.4,1.61,1.4,3.53,5.61
1467,10.08,1.0075,3.47,-3.59,0.59,1.37,1.62,1.44,3.81,6.07
1468,10.08,1.0075,3.461,-3.71,0.68,1.35,1.62,1.46,3.95,6.31
1469,10.08,0.8308,3.658,0.64,1.13,1.03,1.16,0.61,1.15,1.93
1470,10.08,0.831,3.654,0.54,1.06,1.07,1.18,0.62,1.17,1.97
1471,10.08,0.8329,3.662,0.57,1.04,1.0,1.14,0.6,1.13,1.89
1472,10.08,0.8337,3.658,0.41,0.9,1.05,1.17,0.61,1.15,1.93
1473,10.08,0.834,3.652,0.25,0.79,1.12,1.2,0.63,1.18,1.99
1474,10.08,0.8341,3.646,0.09,0.67,1.18,1.23,0.65,1.22,2.05
1475,10.08,0.8342,3.64,-0.07,0.56,1.25,1.26,0.67,1.25,2.11
1476,10.08,0.8342,3.627,-0.41,0.32,1.42,1.34,0.71,1.34,2.25
1477,10.08,0.8343,3.602,-1.0,-0.02,1.71,1.48,0.8,1.5,2.54
1478,10.08,0.8343,3.598,-1.15,-0.13,1.73,1.5,0.81,1.55,2.59
1479,10.08,0.8343,3.606,-0.91,0.03,1.66,1.46,0.78,1.47,2.49
1480,10.08,0.8343,3.614,-0.75,0.11,1.58,1.42,0.76,1.42,2.4
1481,10.08,0.8344,3.607,-0.91,0.03,1.66,1.46,0.78,1.47,2.49
1482,10.08,0.8345,3.601,-1.08,-0.08,1.72,1.49,0.81,1.52,2.56
1483,10.08,0.8345,3.595,-1.25,-0.19,1.74,1.51,0.82,1.58,2.63
1484,10.08,0.8345,3.586,-1.48,-0.34,1.78,1.53,0.85,1.68,2.74
1485,10.08,0.8345,3.576,-1.7,-0.46,1.81,1.56,0.88,1.77,2.85
1486,10.08,0.8346,3.559,-2.02,-0.41,1.81,1.58,0.99,2.1,3.24
1487,10.08,0.8346,3.546,-2.26,-0.35,1.8,1.59,1.07,2.35,3.55
1488,10.08,0.8346,3.537,-2.43,-0.2,1.73,1.59,1.14,2.56,3.9
1489,10.08,0.8346,3.526,-2.61,0.05,1.61,1.6,1.23,2.82,4.38
1490,10.08,0.8346,3.517,-2.79,0.25,1.5,1.61,1.31,3.04,4.79
1491,10.08,0.8346,3.506,-2.97,0.4,1.44,1.61,1.36,3.25,5.16
1492,10.08,0.8346,3.495,-3.15,0.46,1.42,1.61,1.39,3.41,5.43
1493,10.08,0.8346,3.485,-3.31,0.52,1.4,1.62,1.41,3.57,5.68
1494,10.08,0.8346,3.474,-3.47,0.62,1.38,1.62,1.43,3.75,5.98
1495,10.08,0.8346,3.466,-3.6,0.68,1.36,1.62,1.45,3.88,6.19
1496,10.08,0.8346,3.456,-3.76,0.75,1.34,1.62,1.48,4.04,6.45
1497,10.08,0.8346,3.445,-3.93,0.81,1.33,1.62,1.5,4.2,6.71
1498,10.08,0.8346,3.435,-4.09,0.88,1.31,1.62,1.52,4.36,6.97
1499,10.08,0.8346,3.425,-4.26,0.95,1.29,1.63,1.54,4.52,7.24
1500,10.08,0.8346,3.418,-4.37,1.0,1.27,1.63,1.56,4.63,7.42
1532,10.06,0.6,3.593,7.67,8.71,1.11,1.36,0.86,1.66,2.62
1533,10.06,0.62,3.603,7.5,8.5,1.06,1.33,0.83,1.57,2.55
1534,10.06,0.64,3.613,7.34,8.24,1.03,1.29,0.81,1.5,2.44
1535,10.06,0.66,3.624,7.17,7.99,1.0,1.25,0.78,1.43,2.33
1536,10.06,0.68,3.634,6.99,7.73,0.96,1.2,0.75,1.37,2.22
1537,10.06,0.7,3.644,6.82,7.47,0.91,1.15,0.71,1.3,2.11
1538,10.06,0.72,3.655,6.65,7.22,0.85,1.1,0.68,1.23,2.01
1539,10.06,0.74,3.665,6.48,6.98,0.78,1.06,0.64,1.17,1.9
1540,10.06,0.76,3.676,6.31,6.73,0.71,1.01,0.6,1.11,1.8
1541,10.06,0.78,3.687,6.13,6.48,0.64,0.97,0.56,1.05,1.7
1542,10.06,0.8,3.699,5.94,6.23,0.57,0.92,0.52,0.98,1.6
1543,10.06,0.82,3.708,5.77,6.01,0.51,0.88,0.5,0.94,1.52
1544,10.06,0.84,3.718,5.59,5.79,0.45,0.85,0.48,0.89,1.44
1545,10.06,0.86,3.727,5.4,5.57,0.38,0.81,0.45,0.85,1.37
1546,10.06,0.88,3.735,5.21,5.35,0.32,0.78,0.43,0.82,1.31
1547,10.06,0.895,3.741,5.06,5.18,0.28,0.75,0.42,0.8,1.27
1548,10.06,0.915,3.747,4.87,4.98,0.25,0.73,0.41,0.78,1.23
1549,10.06,0.935,3.75,4.69,4.79,0.23,0.72,0.4,0.76,1.21
1550,10.06,0.95,3.755,4.48,4.58,0.2,0.7,0.39,0.75,1.18
1551,10.06,0.95,3.755,4.48,4.57,0.2,0.7,0.39,0.75,1.18
1552,10.06,0.9621,3.754,4.33,4.42,0.2,0.7,0.39,0.75,1.18
1553,10.06,0.9744,3.752,4.18,4.27,0.22,0.71,0.4,0.76,1.19
1554,10.06,0.9857,3.746,4.02,4.13,0.25,0.74,0.41,0.78,1.23
1555,10.06,0.9967,3.723,3.91,4.09,0.41,0.84,0.45,0.87,1.4
1556,10.06,0.9994,3.71,3.91,4.15,0.51,0.89,0.48,0.92,1.5
1557,10.06,1.0039,3.688,3.78,4.12,0.67,0.98,0.54,1.02,1.67
1558,10.06,1.0041,3.687,3.77,4.11,0.68,0.98,0.55,1.02,1.68
1559,10.06,1.006,3.682,3.61,3.97,0.71,1.0,0.56,1.05,1.73
1560,10.06,1.0075,3.68,3.45,3.83,0.74,1.02,0.56,1.06,1.75
1561,10.06,1.009,3.678,3.28,3.66,0.76,1.03,0.57,1.07,1.76
1562,10.06,1.0102,3.676,3.12,3.52,0.77,1.04,0.57,1.08,1.78
1563,10.06,1.0114,3.674,2.94,3.35,0.79,1.05,0.58,1.08,1.79
1564,10.06,1.0124,3.672,2.76,3.18,0.81,1.06,0.58,1.09,1.81
1565,10.06,1.0132,3.67,2.61,3.04,0.83,1.07,0.59,1.1,1.83
1566,10.06,1.014,3.668,2.42,2.86,0.86,1.08,0.59,1.11,1.85
1567,10.06,1.0146,3.666,2.26,2.71,0.88,1.09,0.6,1.12,1.86
1568,10.06,1.0151,3.664,2.11,2.57,0.9,1.1,0.61,1.13,1.88
1569,10.06,1.0156,3.661,1.93,2.41,0.93,1.12,0.61,1.15,1.91
1570,10.06,1.0161,3.658,1.75,2.25,0.96,1.13,0.62,1.16,1.93
1571,10.06,1.0165,3.655,1.59,2.11,0.99,1.15,0.63,1.17,1.96
1572,10.06,1.0169,3.653,1.48,2.01,1.01,1.16,0.63,1.18,1.98
1573,10.06,1.0172,3.655,1.53,2.05,1.0,1.15,0.63,1.17,1.96
1574,10.06,1.0175,3.652,1.38,1.92,1.03,1.17,0.64,1.19,1.99
1575,10.06,1.0178,3.649,1.23,1.79,1.06,1.18,0.65,1.21,2.02
1576,10.06,1.0181,3.646,1.08,1.66,1.1,1.2,0.65,1.23,2.05
1577,10.06,1.0184,3.643,0.9,1.51,1.14,1.22,0.67,1.24,2.08
1578,10.06,1.0186,3.639,0.74,1.37,1.18,1.24,0.68,1.26,2.12
1579,10.06,1.0188,3.635,0.55,1.22,1.24,1.26,0.69,1.29,2.16
1580,10.06,1.019,3.631,0.37,1.08,1.29,1.29,0.7,1.32,2.2
1581,10.06,1.0191,3.627,0.22,0.95,1.34,1.31,0.72,1.34,2.25
1582,10.06,1.0192,3.623,0.05,0.82,1.39,1.33,0.73,1.37,2.29
1583,10.06,1.0193,3.619,-0.1,0.71,1.44,1.36,0.74,1.39,2.33
1584,10.06,1.0194,3.615,-0.28,0.58,1.5,1.39,0.75,1.42,2.39
1585,10.06,1.0195,3.61,-0.44,0.47,1.56,1.42,0.77,1.45,2.44
1586,10.06,1.0196,3.605,-0.62,0.33,1.63,1.45,0.79,1.48,2.5
1587,10.06,1.0196,3.601,-0.77,0.22,1.68,1.48,0.8,1.51,2.55
1588,10.06,1.0197,3.596,-0.94,0.1,1.72,1.5,0.82,1.57,2.62
1589,10.06,1.0198,3.589,-1.14,-0.03,1.75,1.52,0.84,1.64,2.7
1590,10.06,1.0198,3.583,-1.29,-0.12,1.78,1.54,0.86,1.71,2.77
1591,10.06,1.0198,3.576,-1.47,-0.22,1.81,1.56,0.88,1.78,2.86
1592,10.06,1.0199,3.569,-1.64,-0.27,1.81,1.57,0.92,1.9,3.0
1593,10.06,1.0199,3.56,-1.87,-0.27,1.81,1.57,0.98,2.09,3.23
1594,10.06,1.02,3.549,-2.13,-0.28,1.8,1.59,1.05,2.31,3.5
1595,10.06,1.02,3.534,-2.43,-0.09,1.69,1.6,1.16,2.63,4.03
1596,10.06,1.02,3.526,-2.62,0.04,1.61,1.6,1.23,2.81,4.38
1597,10.06,1.02,3.516,-2.83,0.23,1.5,1.61,1.31,3.05,4.81
1598,10.06,1.0201,3.503,-3.05,0.39,1.43,1.61,1.37,3.3,5.24
1599,10.06,1.0201,3.487,-3.31,0.48,1.4,1.61,1.4,3.54,5.63
1600,10.06,1.0201,3.47,-3.61,0.57,1.37,1.62,1.44,3.81,6.07
1601,10.06,1.0201,3.462,-3.71,0.64,1.36,1.62,1.46,3.93,6.27
1602,10.06,0.8461,3.658,0.63,1.13,1.03,1.16,0.61,1.15,1.93
1603,10.06,0.8462,3.654,0.53,1.05,1.07,1.18,0.62,1.17,1.97
1604,10.06,0.8482,3.662,0.56,1.03,1.0,1.15,0.6,1.13,1.9
1605,10.06,0.8491,3.658,0.4,0.9,1.05,1.17,0.61,1.15,1.94
1606,10.06,0.8494,3.651,0.24,0.77,1.12,1.2,0.63,1.18,2.0
1607,10.06,0.8496,3.645,0.06,0.65,1.19,1.24,0.65,1.22,2.06
1608,10.06,0.8496,3.639,-0.1,0.53,1.26,1.27,0.67,1.26,2.12
1609,10.06,0.8497,3.629,-0.35,0.36,1.39,1.32,0.7,1.32,2.22
1610,10.06,0.8497,3.609,-0.86,0.06,1.64,1.45,0.77,1.46,2.46
1611,10.06,0.8497,3.598,-1.15,-0.13,1.73,1.5,0.81,1.54,2.59
1612,10.06,0.8497,3.607,-0.9,0.03,1.66,1.46,0.78,1.47,2.48
1613,10.06,0.8497,3.614,-0.75,0.11,1.57,1.41,0.75,1.41,2.39
1614,10.06,0.8498,3.607,-0.91,0.02,1.66,1.46,0.78,1.47,2.48
1615,10.06,0.8499,3.6,-1.1,-0.1,1.72,1.49,0.81,1.52,2.56
1616,10.06,0.8499,3.595,-1.26,-0.21,1.75,1.51,0.82,1.58,2.63
1617,10.06,0.8499,3.586,-1.5,-0.35,1.78,1.53,0.85,1.68,2.74
1618,10.06,0.85,3.577,-1.71,-0.47,1.81,1.55,0.88,1.77,2.85
1619,10.06,0.85,3.56,-2.01,-0.44,1.81,1.57,0.98,2.07,3.21
1620,10.06,0.85,3.548,-2.23,-0.37,1.8,1.59,1.05,2.32,3.51
1621,10.06,0.85,3.538,-2.43,-0.24,1.74,1.59,1.13,2.54,3.86
1622,10.06,0.85,3.527,-2.61,0.01,1.62,1.6,1.22,2.79,4.33
1623,10.06,0.85,3.518,-2.78,0.2,1.52,1.61,1.29,3.0,4.72
1624,10.06,0.85,3.508,-2.95,0.37,1.44,1.61,1.36,3.21,5.1
1625,10.06,0.85,3.498,-3.12,0.42,1.42,1.61,1.38,3.37,5.35
1626,10.06,0.85,3.488,-3.28,0.5,1.4,1.61,1.4,3.53,5.61
1627,10.06,0.85,3.478,-3.43,0.57,1.39,1.62,1.43,3.68,5.87
1628,10.06,0.85,3.467,-3.6,0.66,1.37,1.62,1.45,3.86,6.16
1629,10.06,0.85,3.457,-3.75,0.72,1.35,1.62,1.47,4.01,6.4
1630,10.06,0.8501,3.448,-3.91,0.78,1.33,1.62,1.49,4.16,6.65
1631,10.06,0.8501,3.438,-4.06,0.84,1.31,1.62,1.51,4.31,6.89
1632,10.06,0.8501,3.428,-4.22,0.91,1.29,1.63,1.54,4.47,7.15
1633,10.06,0.8501,3.418,-4.38,0.98,1.27,1.63,1.56,4.62,7.4
1634,10.06,0.8501,3.416,-4.41,1.0,1.27,1.63,1.56,4.66,7.46
1664,10.04,0.6,3.592,7.68,8.72,1.11,1.36,0.86,1.67,2.62
1665,10.04,0.62,3.602,7.51,8.51,1.06,1.34,0.83,1.57,2.56
1666,10.04,0.64,3.613,7.34,8.25,1.03,1.29,0.81,1.5,2.44
1667,10.04,0.66,3.623,7.18,8.0,1.0,1.25,0.79,1.44,2.33
1668,10.04,0.68,3.633,7.01,7.74,0.96,1.21,0.75,1.37,2.22
1669,10.04,0.7,3.644,6.83,7.49,0.91,1.16,0.72,1.3,2.12
1670,10.04,0.72,3.654,6.67,7.24,0.86,1.11,0.68,1.24,2.01
1671,10.04,0.74,3.665,6.5,7.0,0.79,1.06,0.64,1.18,1.91
1672,10.04,0.76,3.675,6.33,6.75,0.72,1.02,0.6,1.11,1.81
1673,10.04,0.78,3.686,6.15,6.51,0.65,0.97,0.56,1.05,1.71
1674,10.04,0.8,3.697,5.96,6.26,0.58,0.93,0.53,0.99,1.61
1675,10.04,0.82,3.707,5.8,6.04,0.52,0.89,0.5,0.94,1.53
1676,10.04,0.84,3.716,5.62,5.83,0.45,0.85,0.48,0.9,1.45
1677,10.04,0.86,3.726,5.44,5.61,0.39,0.82,0.46,0.86,1.38
1678,10.04,0.88,3.734,5.25,5.39,0.33,0.78,0.43,0.82,1.32
1679,10.04,0.9,3.742,5.05,5.17,0.28,0.75,0.42,0.79,1.26
1680,10.04,0.92,3.748,4.88,4.99,0.24,0.73,0.41,0.77,1.23
1681,10.04,0.94,3.751,4.7,4.8,0.22,0.72,0.4,0.76,1.21
1682,10.04,0.955,3.754,4.55,4.64,0.2,0.71,0.39,0.75,1.19
1683,10.04,0.9608,3.757,4.43,4.52,0.19,0.69,0.39,0.74,1.17
1684,10.04,0.9729,3.756,4.28,4.36,0.19,0.7,0.39,0.74,1.17
1685,10.04,0.9856,3.753,4.12,4.22,0.21,0.71,0.39,0.75,1.18
1686,10.04,0.997,3.747,3.97,4.07,0.25,0.73,0.41,0.78,1.23
1687,10.04,1.0069,3.73,3.87,4.03,0.36,0.81,0.44,0.84,1.35
1688,10.04,1.0115,3.709,3.88,4.12,0.51,0.89,0.49,0.93,1.5
1689,10.04,1.0162,3.688,3.74,4.08,0.67,0.98,0.54,1.02,1.68
1690,10.04,1.0182,3.683,3.58,3.94,0.71,1.0,0.56,1.04,1.72
1691,10.04,1.0197,3.68,3.43,3.8,0.73,1.01,0.56,1.06,1.75
1692,10.04,1.0212,3.678,3.26,3.64,0.75,1.03,0.57,1.07,1.76
1693,10.04,1.0225,3.676,3.09,3.49,0.77,1.03,0.57,1.07,1.77
1694,10.04,1.0237,3.675,2.92,3.33,0.79,1.04,0.57,1.08,1.79
1695,10.04,1.0247,3.672,2.75,3.16,0.81,1.06,0.58,1.09,1.81
1696,10.04,1.0255,3.671,2.6,3.02,0.83,1.07,0.59,1.1,1.82
1697,10.04,1.0263,3.668,2.42,2.86,0.85,1.08,0.59,1.11,1.84
1698,10.04,1.0269,3.666,2.27,2.71,0.87,1.09,0.6,1.12,1.86
1699,10.04,1.0275,3.664,2.09,2.55,0.89,1.1,0.6,1.13,1.88
1700,10.04,1.028,3.661,1.93,2.4,0.92,1.11,0.61,1.14,1.9
1701,10.04,1.0285,3.659,1.75,2.24,0.95,1.13,0.62,1.16,1.93
1702,10.04,1.0289,3.656,1.6,2.11,0.98,1.14,0.63,1.17,1.95
1703,10.04,1.0294,3.654,1.46,1.99,1.01,1.16,0.63,1.18,1.98
1704,10.04,1.0297,3.655,1.51,2.03,0.99,1.15,0.63,1.17,1.96
1705,10.04,1.03,3.652,1.34,1.88,1.03,1.17,0.64,1.19,1.99
1706,10.04,1.0304,3.648,1.16,1.73,1.07,1.19,0.65,1.21,2.03
1707,10.04,1.0307,3.645,1.01,1.6,1.11,1.2,0.66,1.23,2.06
1708,10.04,1.031,3.642,0.84,1.45,1.15,1.22,0.67,1.25,2.09
1709,10.04,1.0312,3.639,0.68,1.32,1.19,1.25,0.68,1.27,2.13
1710,10.04,1.0314,3.635,0.52,1.19,1.24,1.26,0.69,1.29,2.16
1711,10.04,1.0316,3.631,0.35,1.05,1.29,1.29,0.7,1.32,2.2
1712,10.04,1.0317,3.627,0.2,0.94,1.34,1.31,0.71,1.34,2.24
1713,10.04,1.0318,3.623,0.04,0.81,1.38,1.33,0.73,1.36,2.29
1714,10.04,1.0319,3.619,-0.13,0.68,1.44,1.36,0.74,1.39,2.34
1715,10.04,1.032,3.615,-0.3,0.55,1.5,1.39,0.75,1.42,2.39
1716,10.04,1.0321,3.61,-0.46,0.44,1.56,1.42,0.77,1.45,2.44
1717,10.04,1.0322,3.606,-0.64,0.31,1.63,1.45,0.79,1.48,2.5
1718,10.04,1.0323,3.6,-0.83,0.17,1.69,1.48,0.81,1.52,2.57
1719,10.04,1.0323,3.594,-1.01,0.05,1.73,1.5,0.82,1.58,2.63
1720,10.04,1.0324,3.588,-1.2,-0.08,1.76,1.52,0.85,1.65,2.71
1721,10.04,1.0324,3.581,-1.36,-0.17,1.79,1.54,0.87,1.73,2.8
1722,10.04,1.0325,3.574,-1.52,-0.27,1.81,1.56,0.89,1.8,2.88
1723,10.04,1.0325,3.568,-1.71,-0.3,1.81,1.57,0.93,1.93,3.03
1724,10.04,1.0325,3.557,-1.93,-0.28,1.81,1.58,1.0,2.14,3.29
1725,10.04,1.0326,3.547,-2.18,-0.31,1.8,1.59,1.06,2.33,3.53
1726,10.04,1.0326,3.533,-2.49,-0.08,1.68,1.6,1.17,2.66,4.1
1727,10.04,1.0326,3.525,-2.67,0.03,1.6,1.6,1.24,2.84,4.42
1728,10.04,1.0327,3.515,-2.87,0.23,1.49,1.61,1.32,3.07,4.85
1729,10.04,1.0327,3.501,-3.09,0.39,1.43,1.61,1.37,3.32,5.28
1730,10.04,1.0327,3.487,-3.34,0.46,1.4,1.61,1.41,3.55,5.64
1731,10.04,1.0327,3.47,-3.63,0.55,1.37,1.62,1.44,3.81,6.07
1732,10.04,1.0327,3.464,-3.71,0.61,1.36,1.62,1.46,3.91,6.24
1733,10.04,0.8613,3.658,0.63,1.12,1.03,1.16,0.61,1.15,1.94
