ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b
114.67239441353917,21.53953735030247,-1.2469941548654968,0.06550776,-2.0930226700275854,0.057126645,0.7619972,16.46804,0.305466693035609,0.059111614,,,198.16902158719586,19.68708441567999
114.67922513639262,21.538146621976193,-1.23756862575061,0.035825733,-2.0211878300226083,0.030950548,0.59933376,15.141257,0.4111535152959868,0.03247375,,,198.1729486509437,19.692435379312013
114.67666341786068,21.539301502308152,-1.2642695179744141,0.025421362,-1.8969140493601706,0.021683414,0.6126909,14.574227,0.3929753556403852,0.022397831,,,198.17085353042233,19.690668886582536
114.68315240518932,21.537561277104587,-1.2913927230277742,0.05191441,-2.026505468143588,0.049514577,0.6830034,15.864112,0.3124320618070033,0.04647589,,,198.1749959592757,19.69559321566012
114.65884731651204,21.545216156793806,-1.2331170439480745,0.09246413,-1.943979077875894,0.07990713,0.88694763,17.131775,0.4524431343482478,0.08748653,,,198.15836353929353,19.677580712427773
114.66741213318127,21.552955662323274,-1.1659924747513621,0.29457304,-2.090499028140483,0.26914683,1.5536232,19.211445,0.4009428699985544,0.28271493,,,198.1539683914028,19.687887689760174
114.63432195997832,21.53155437911664,-1.10418196848156,0.08794752,-2.0996352397999924,0.07565665,1.0313473,17.131763,0.3767676817139115,0.080907546,,,198.16259147065747,19.65128971386812
114.6345171038012,21.532498745131242,-1.2932635140231574,0.113403864,-1.9735137853666624,0.09825749,0.9684391,17.56101,0.3180503785127076,0.10831108,,,198.16173693278446,19.65181614623322
114.62998144737215,21.539188374980093,-1.251056095856803,0.039286856,-1.9788198494672877,0.033571664,0.6459055,15.602946,0.39256445096373427,0.035955865,,,198.1534646801963,19.650452330033282
114.64634219064057,21.545510471555378,-1.1515548197161403,0.026246654,-2.092576544427388,0.021800233,0.5658493,14.663969,0.4394897907002338,0.023125032,,,198.15338699180884,19.666931032343186
114.64013191038485,21.546926338884564,-1.2360718138143474,0.033450134,-2.0108450890213314,0.028165676,0.60158825,15.237985,0.39873622415033516,0.029929556,,,198.14966801240757,19.662124171977233
114.6442735723521,21.53446544109379,-1.3004865707951243,0.027703544,-2.0458172271251778,0.024280958,0.5723028,14.775511,0.3424583161543281,0.026439235,,,198.16346296061835,19.66095892977449
114.60963229746208,21.521049726160925,-1.1568592846743764,0.024954297,-2.105348961980367,0.020637507,0.6149559,14.573254,0.42612649010772746,0.022734601,,,198.163650423363,19.62605361112294
114.61041940443958,21.504225417835723,-1.2792676136799375,0.03362063,-2.009783307184249,0.026004173,0.64498806,14.8738575,0.35777982122113,0.031283278,,,198.18046889150264,19.620340921537398
114.61157706782261,21.520301162069885,-1.2803121418713088,0.03770895,-2.0845195627582136,0.031048968,0.6044073,15.272656,0.3977159189256214,0.035034396,,,198.16511507420452,19.627442980393248
114.60080428488816,21.52774120314655,-1.0590841929437007,0.10652075,-1.9649679714855304,0.09159671,0.97995186,17.512602,0.36160486220702176,0.09582389,,,198.15376745682022,19.620997726037064
114.62954578190487,21.542127185908956,-1.177942833978984,0.10838475,-2.088978552373065,0.09433285,0.99310875,17.539095,0.4340659427132825,0.098759815,,,198.1504143455814,19.65119295607142
114.61398586534573,21.54442943669647,-1.2585415724499402,0.045396786,-2.082232415691024,0.03876406,0.6826916,15.893654,0.41846961472722655,0.040971838,,,198.14231926522024,19.638677302124492
114.61054887748162,21.542739127831183,-1.3210150729501646,0.020774536,-1.9912925353348614,0.016621903,0.6545229,13.843971,0.39000879549088396,0.018500198,,,198.1426909878396,19.635078055032228
114.63182000326982,21.547407781706276,-1.2108911411748322,0.11995009,-2.065493679537846,0.10468271,1.1236305,17.460934,0.48327398253546877,0.11459839,,,198.14607927335624,19.655154292686387
114.6370997215719,21.550861979222557,-1.0692147083240087,0.37857512,-1.9893521736449906,0.35537794,1.7751789,19.594778,0.3984369593890099,0.3418828,,,198.14466478890998,19.661008516094014
114.63305586678709,21.552663728710048,-1.1238069340845007,0.17681496,-1.9707881586833285,0.16328347,1.2481804,18.4724,0.4041551312097022,0.16730414,,,198.1413789139935,19.65821253379747
