# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Mon May 30 16:37:44 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.017268 0.07400 8.90000 0.7990384102 2.4183878899    0.799 -0.588  3.6882  4.633    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.75e-14      0.00 7.065e-01 2.764e-01 3.037e-03 8.292e-04 7.532e-03 -1.000 1.714e-02 6.241 6.257 6.784 5.587
0.017268 0.07400 8.90000 0.8088822961 2.4217917919    0.809 -0.563  3.6920  4.629    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.85e-14      0.00 7.066e-01 2.763e-01 3.036e-03 8.289e-04 7.530e-03 -1.000 1.713e-02 6.178 6.182 6.698 5.522
0.017268 0.07400 8.90000 0.8480768800 2.4344482422    0.848 -0.466  3.7067  4.611    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.31e-14      0.00 7.069e-01 2.760e-01 3.032e-03 8.281e-04 7.522e-03 -1.000 1.709e-02 5.934 5.898 6.371 5.273
0.017268 0.07400 8.90000 0.8582203388 2.4375078678    0.858 -0.441  3.7103  4.606    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.44e-14      0.00 7.070e-01 2.759e-01 3.031e-03 8.278e-04 7.520e-03 -1.000 1.709e-02 5.873 5.828 6.291 5.211
0.017268 0.07400 8.90000 0.8971151710 2.4485063553    0.896 -0.349  3.7239  4.587    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.01e-14      0.00 7.074e-01 2.755e-01 3.028e-03 8.269e-04 7.511e-03 -1.000 1.710e-02 5.643 5.569 5.997 4.983
0.017268 0.07400 8.90000 0.9461535811 2.4609019756    0.946 -0.238  3.7395  4.561    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.91e-14      0.00 7.080e-01 2.749e-01 3.021e-03 8.252e-04 7.496e-03 -1.000 1.710e-02 5.364 5.263 5.653 4.711
0.017268 0.07400 8.90000 0.9758144021 2.4677081108    0.976 -0.172  3.7482  4.544    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.57e-14      0.00 7.086e-01 2.744e-01 3.017e-03 8.239e-04 7.485e-03 -1.000 1.708e-02 5.200 5.089 5.457 4.558
0.017268 0.07400 8.90000 0.9951920509 2.4719035625    0.995 -0.130  3.7537  4.533    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.05e-14      0.00 7.089e-01 2.740e-01 3.014e-03 8.230e-04 7.477e-03 -1.000 1.705e-02 5.095 4.980 5.334 4.461
0.017268 0.07400 8.90000 1.0442303419 2.4817252159    1.044 -0.027  3.7664  4.501    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.07e-14      0.00 7.102e-01 2.729e-01 3.002e-03 8.200e-04 7.450e-03 -1.000 1.691e-02 4.837 4.712 5.036 4.223
0.017268 0.07400 8.90000 1.0856257677 2.4892268181    1.085  0.058  3.7762  4.472    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.01e-14      0.00 7.118e-01 2.714e-01 2.988e-03 8.161e-04 7.415e-03 -1.000 1.684e-02 4.625 4.496 4.797 4.031
