Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,p0,p1,p2,p3,p4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.017268,0.074,8.9,1.6456940174,2.5496759415,1.645,0.95,3.8819,4.184,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-7.56E-15,0.0,0.7178,0.2655,0.002943,8.043E-4,0.00731,-1.0,0.01665,2.395,2.289,2.403,2.08
0.017268,0.074,8.9,1.6572104692,2.5504362583,1.657,0.965,3.8837,4.179,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.19E-15,0.0,0.7178,0.2655,0.002943,8.043E-4,0.00731,-1.0,0.01665,2.359,2.255,2.365,2.05
0.017268,0.074,8.9,1.6817296743,2.552015543,1.681,0.995,3.8874,4.17,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.29E-24,0.0,0.7179,0.2655,0.002942,8.041E-4,0.007309,-1.0,0.01663,2.283,2.182,2.287,1.987
0.017268,0.074,8.9,1.6976727247,2.5530142784,1.697,1.014,3.8896,4.164,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.34E-28,0.0,0.7179,0.2655,0.002942,8.04E-4,0.007309,-1.0,0.01661,2.234,2.134,2.236,1.945
0.017268,0.074,8.9,1.7062489986,2.553542614,1.705,1.025,3.8908,4.16,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.7179,0.2655,0.002942,8.04E-4,0.007308,-1.0,0.01661,2.208,2.109,2.209,1.923
0.017268,0.074,8.9,1.7307680845,2.5550200939,1.73,1.054,3.894,4.15,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.718,0.2655,0.002942,8.04E-4,0.007308,-1.0,0.0166,2.134,2.038,2.133,1.861
0.017268,0.074,8.9,1.7540096045,2.5563766956,1.753,1.082,3.8969,4.139,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.718,0.2655,0.002942,8.04E-4,0.007308,-1.0,0.01659,2.064,1.97,2.061,1.8
0.017268,0.074,8.9,1.7552872896,2.5564501286,1.754,1.084,3.897,4.138,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.718,0.2655,0.002942,8.04E-4,0.007308,-1.0,0.01659,2.06,1.966,2.057,1.797
0.017268,0.074,8.9,1.7730247974,2.5574564934,1.772,1.105,3.899,4.129,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.7179,0.2654,0.002942,8.04E-4,0.007308,-1.0,0.01661,2.007,1.915,2.003,1.751
0.017268,0.074,8.9,1.7798066139,2.5578351021,1.779,1.113,3.8997,4.126,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.7179,0.2654,0.002942,8.04E-4,0.007308,-1.0,0.01661,1.987,1.896,1.982,1.734
