source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b,ruwe,phot_g_n_obs,phot_bp_n_obs,phot_rp_n_obs,labels
2893929967408428160,97.47347389299226,-31.315470981238178,-1.1443104288126276,0.09440164,5.453892144475366,0.08967122,0.82631874,17.965351,0.32438643995730726,0.08724934,,,239.5364136749031,-17.96080285688665,1.0016892,446,52,52,0
2893936220880880512,97.3312761912927,-31.35194820040211,-1.2721675549457767,0.030437356,5.530846650154199,0.030139232,0.6448107,15.794046,0.20379481492839313,0.028519826,,,239.5257500967716,-18.087214683760028,1.061527,454,56,53,0
2893936250941962752,97.30356719708499,-31.345169215602038,-1.2543068790268495,0.044798233,5.426278344957507,0.045681298,0.64058685,16.754381,0.24425163229610544,0.043823704,,,239.51007563102013,-18.106809486120927,1.026691,475,60,57,0
2893936255240622336,97.30713956554251,-31.350242692783606,-1.1860935801677681,0.02474855,5.449211884691841,0.02596878,0.7430239,15.586006,0.2034399409770139,0.024502339,,,239.5162140109231,-18.105805635745213,0.9844432,467,56,57,0
2893936255240622592,97.29589009188878,-31.344253400932356,-1.1872776600318513,0.011176961,5.571852300180375,0.011505261,1.2053747,13.03372,0.21676404772838587,0.010686457,60.312206,0.8903349,239.5066766965104,-18.11258806062085,1.0593839,464,55,53,0
2893936289600354688,97.32412378430647,-31.33598107263548,-1.2843088627626846,0.040206008,5.489078389742239,0.04187378,0.62851524,16.47524,0.23634235130128553,0.04058742,,,239.50776597558584,-18.08711539804601,1.0537623,458,56,54,0
2893936457100423168,97.29687429452453,-31.32572372399627,-1.209100373069759,0.0891351,5.643796362462764,0.09034123,0.8067093,17.962736,0.2643697359466617,0.0862217,,,239.4888285436435,-18.10508638673355,1.0610514,484,59,54,0
2893936491460163840,97.3149490376412,-31.323613615485606,-1.1106693848823466,0.13333972,5.537230961227862,0.12769179,0.9285984,18.521343,0.28126449978963675,0.1338506,,,239.49265104241368,-18.089932277073267,1.004927,422,51,51,0
2893941099963718528,97.37960946047289,-31.34984916125381,-1.2426065598040554,0.021196663,5.479500635511964,0.020791449,0.25152206,15.093231,0.23650361044568283,0.020687005,,,239.5394483808859,-18.0479902239547,1.010325,447,56,53,0
2893941099963719296,97.38108610876381,-31.35297020858529,-1.2672136901327469,0.060263876,5.57003757999546,0.059574302,0.7162342,17.225075,0.28600070779025893,0.058128137,,,239.54298848326505,-18.047948339508274,1.0126327,450,55,51,0
2893941130024797312,97.3985094889831,-31.35490318854718,-1.1684119059905325,0.09389694,5.480035668613356,0.0878245,0.95129013,17.951447,0.1745269594252935,0.085887976,,,239.5505647368393,-18.03478672916445,1.0170622,439,54,55,0
2893941168683184256,97.41036252648684,-31.34082209096203,-1.2951854275369936,0.0936482,5.523488054768407,0.09826122,0.84472275,17.996557,0.2588438113204659,0.09328941,,,239.54063494185564,-18.02024057344102,1.0095453,434,52,52,0
2893941168684099840,97.41783362961135,-31.348506062881263,-1.2851928466249867,0.04125952,5.494519291882819,0.03968903,0.6435995,16.37118,0.19613079835330507,0.037531853,,,239.55060083859053,-18.01708762237433,0.9301062,446,52,50,0
2893941198744288384,97.39145023102427,-31.34461913452495,-1.145022452784629,0.12818228,5.557887807916956,0.12457252,0.98179054,18.535397,0.3143553603293018,0.12149989,,,239.5381851434098,-18.036668976663922,0.9269403,473,54,55,0
2893941203042924928,97.39635741560281,-31.338609946660206,-1.2605748997294821,0.025628237,5.453295072477074,0.025423748,0.7063732,15.5446005,0.22238489650023854,0.02442492,,,239.53389790840578,-18.030581524095716,0.9888334,462,58,58,0
2893941203042927488,97.39813885067295,-31.347631925323597,-1.3121704233631972,0.03873981,5.586106121771976,0.037851878,0.6354675,16.412,0.19143913922589886,0.03726369,,,239.54331906463221,-18.03244086263031,1.0274945,462,55,55,0
2893941203043838848,97.3946345679903,-31.33895290815635,-1.138043534008502,0.070544295,5.541836958477695,0.06805644,0.7442074,17.44393,0.28640965648762023,0.06789568,,,239.53367186478727,-18.032077092064398,0.95061046,452,50,55,0
2893941237402658432,97.40173023460046,-31.32924611289568,-1.2606579027766247,0.040176257,5.438247093623728,0.038842365,0.65645885,16.397417,0.21907693042925613,0.037847076,,,239.52647660038525,-18.02290423883634,0.9957423,435,54,52,0
2893941237402660608,97.40184101450774,-31.334211260258407,-1.2779971127463041,0.03920405,5.47386744049757,0.03908928,0.6633339,16.376917,0.28000867391187956,0.037509654,,,239.53137735625458,-18.024619916718102,1.0672231,455,54,53,0
2893941267463756288,97.36128206242367,-31.35046374926087,-1.3076102237208769,0.070729166,5.601494683967739,0.06946383,0.856802,17.495396,0.24504225481472197,0.06509425,,,239.53407496531955,-18.06279739745718,1.0377938,461,55,56,0
2893941306122609024,97.37463965705464,-31.342423370931552,-1.263372903467424,0.047796592,5.568388364355822,0.0483376,0.6675644,16.722801,0.20388869944308152,0.0446002,,,239.53055047575577,-18.04924900781767,0.98038214,444,53,53,0
2893941404902730496,97.3769457428258,-31.337419186018245,-1.2136456708958216,0.06828582,5.3814831835615875,0.06504692,0.74121475,17.385855,0.2827815625564772,0.06307061,,,239.52639865765522,-18.04559686927987,0.98907906,444,57,55,0
2893941404902744704,97.38522812923203,-31.327458059880822,-1.2432465006488918,0.09865438,5.463137961329734,0.09959812,1.0277729,18.132025,0.3456292400907707,0.09619634,,,239.51933970857172,-18.03538789964986,1.0095936,465,58,58,0
2893941409198123264,97.38309743580952,-31.33153310117929,-1.249546066345533,0.1064353,5.575648428418356,0.105973944,0.85352135,18.130919,0.22267528051134003,0.100837804,,,239.5226375358247,-18.038563656478477,1.0869827,456,54,57,0
2893941409201355264,97.389557550707,-31.333964259761668,-1.3713999474125806,0.03832143,5.389765141684464,0.036244452,0.65876865,16.26587,0.24107308346627082,0.034112673,,,239.52712738920144,-18.034305438613156,0.98427814,453,57,52,0
2893941439262492672,97.38930213114689,-31.32144278155591,-1.1973942252407128,0.12849408,5.576377305570832,0.12945299,0.947443,18.53172,0.3426263205882609,0.12424102,,,239.5147752086605,-18.02996047178437,1.0409414,482,54,54,0
2893941443561562240,97.3959809008018,-31.32216333960194,-1.2115400527317801,0.018131863,5.4696461413264075,0.019123817,1.0973473,14.870835,0.22068350014848498,0.017696077,,,239.51766089889378,-18.02490663609058,0.9883913,464,56,54,0
2893941477920832896,97.36632168836793,-31.319981646478666,-1.3766969990003697,0.04980922,5.484331416473344,0.055658553,0.6744938,16.94988,0.21918368433888902,0.04984248,,,239.50584490351903,-18.047720782372835,0.98741895,454,58,55,0
2893941507981977856,97.38824115580896,-31.31641325547636,-1.316445281517106,0.043655835,5.388302720457492,0.044087987,0.6493492,16.510792,0.17785235671919156,0.04146831,,,239.50950105029892,-18.02897782999091,1.1227345,473,59,60,0
2893941512280558720,97.38287799506297,-31.301185423393406,-1.1838301130990811,0.026777191,5.46864269582216,0.026800688,0.6713314,15.691406,0.27680574925420165,0.025287298,,,239.49283053898867,-18.02771460014564,0.9752026,476,57,55,0
2893941512280560768,97.38569621118371,-31.3073075576351,-1.3791079352582216,0.050313797,5.4760039312135635,0.051374204,0.6968651,16.94979,0.2106975612629354,0.04946465,,,239.49974880525488,-18.027695473979577,1.0086492,450,56,54,0
2893941512280560896,97.38694103006233,-31.308591568338766,-1.267368837679847,0.0291044,5.52555540314287,0.029695775,0.9319048,15.764542,0.22204583928897592,0.028600369,,,239.50141318616915,-18.027171088775766,1.0789412,464,61,59,0
2893941512280564096,97.37875515479072,-31.310138556128763,-1.2853509846439082,0.04711113,5.557946330892847,0.047949903,0.6655712,16.846684,0.2121901056156721,0.046415042,,,239.50025698797467,-18.034249059119894,1.0399115,454,55,53,0
2893941512280564864,97.37741599852475,-31.310554810913725,-1.4166597059469082,0.059477136,5.505672602086737,0.061442956,0.80771637,17.290457,0.15872953904752546,0.058286868,,,239.500227777335,-18.03546623864834,0.9566023,468,59,59,0
2893941611061193472,97.40867323662981,-31.31896629189079,-1.3710540396901518,0.10733337,5.495196179290524,0.10768845,0.87600136,18.249966,0.23279988275345442,0.10355438,,,239.51867174276757,-18.013643356526774,1.0385416,459,52,52,0
2893941615359771648,97.42270465993641,-31.324933855700518,-1.2767150085894963,0.045930494,5.503640315007699,0.039978117,0.6570778,16.496605,0.21850997211742848,0.039951626,,,239.5290984573314,-18.004645421469025,1.0051448,428,52,52,0
2893941645422674176,97.42304811862013,-31.318705394690923,-1.2131914530715333,0.05411951,5.5447110871916365,0.049550924,0.68732834,16.88984,0.18179717099922207,0.046872843,,,239.52310945895977,-18.002108089777124,0.99436617,456,53,51,0
2893941649719494400,97.42694300425404,-31.309426564717324,-1.2849100654332046,0.062907666,5.447312749780757,0.06006177,0.7347832,17.326767,0.2179940119377476,0.05962435,,,239.51529268920405,-17.995634975640357,1.0082749,480,57,55,0
2893941649719497984,97.42060906798083,-31.309267695812142,-1.2705127671725769,0.04702828,5.540264234751831,0.045754343,0.7583542,16.790747,0.20041420121222558,0.044115853,,,239.51306842821734,-18.00061846025643,1.0521157,473,58,54,0
