source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b,ruwe,phot_g_n_obs,phot_bp_n_obs,phot_rp_n_obs,non_single_star,labels,prob
2941933957882258816,93.80129308955136,-18.75578456806061,-0.5127803909005288,0.024281552,1.9705459206311995,0.030721854,0.5622225,15.486843,0.2120870887153178,0.029225424,,,226.0658386467029,-16.217932848151325,0.9569622,466,49,50,0,0,1.0
2941933992241992960,93.81851822048516,-18.746194015659796,-0.6630796469643072,0.07242021,1.9137306845141395,0.093895726,0.88033104,17.606491,0.18575871223116538,0.08984445,,,226.06353901707735,-16.199140618518136,0.9456094,441,49,50,0,0,1.0
2941934095321203584,93.82732763529087,-18.72888949763499,-0.5892116922298116,0.057620507,2.026821367385866,0.07275929,0.6743221,17.125435,0.21707909988266552,0.072018,,,226.05054691596405,-16.184533269331354,1.0226902,411,44,43,0,0,1.0
2941934129680940800,93.86093085315203,-18.74733062578997,-0.6217036355793464,0.04926272,1.9578633629600177,0.06633442,0.6810341,16.915812,0.26971626177191466,0.06011796,,,226.08147163243294,-16.162840225960668,1.0146861,422,45,41,0,0,1.0
2941934198400418304,93.84905767283347,-18.74406582150176,-0.5908520281105971,0.025424281,1.9437691058226052,0.032917466,0.5598812,15.548166,0.22041254944658473,0.03104587,,,226.07364334009364,-16.171814698272925,1.0231056,408,46,43,0,0,1.0
2941934228461726208,93.87142018751635,-18.737100650500565,-0.6032900746677123,0.039061677,1.9629282069329674,0.05310811,0.62423515,16.547,0.17816714331961064,0.05001231,,,226.0758921425394,-16.14962663378216,1.0163605,407,43,42,0,0,1.0
2941934232760150656,93.86528013393344,-18.726646634773374,-0.6050750334932222,0.02474138,1.883449852951138,0.032335,0.5650368,15.43396,0.19015715408080155,0.030341743,,,226.06349179845,-16.15073446958104,1.0074173,383,38,39,0,0,1.0
2941934297181238400,93.89832887605587,-18.715151139029274,-0.5527719645535538,0.036749557,1.9982962475580572,0.04954484,0.6015787,16.332039,0.1637661021281201,0.046079814,,,226.06567710481687,-16.117456177468757,0.9420106,393,40,38,0,0,1.0
2941934301479618944,93.89907189979975,-18.7198252984379,-0.6378124003047686,0.025040513,1.9931874132501235,0.032638676,0.547204,15.534976,0.1742608112885343,0.029778814,,,226.07042480478594,-16.118696978691766,1.0039858,423,46,44,0,0,1.0
2941934335839359488,93.88718533533897,-18.719948709678842,-0.49330846158923014,0.011751385,2.0614246482722054,0.015385963,1.1263056,13.619987,0.21681178063610915,0.01427075,93.7461,1.8982568,226.06581731445115,-16.12904881683362,1.0311638,393,44,43,0,0,1.0
