source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b,ruwe,phot_g_n_obs,phot_bp_n_obs,phot_rp_n_obs,labels,prob,rs
2941937458277192192,93.83855872793106,-18.700445770359533,-0.5635033974458963,0.058718737,1.8896995254349924,0.074803,0.69787025,17.221163,0.2666034436419085,0.07431212,,,226.02790652493968,-16.163334612841435,1.0177367,434,40,38,0,1.0,0.0659535205723893
2941937496935298944,93.80667955229735,-18.69716948030408,-0.5983522934466756,0.01178917,1.9037324132917206,0.014807119,1.1960573,13.360503,0.21591256058037336,0.012814112,91.73986,1.7548823,226.01211188107496,-16.189649145929042,0.9997448,418,45,45,0,1.0,0.05538750671600383
2941937561356422016,93.83960436961809,-18.695323024545523,-0.5196047608415364,0.04650071,1.95540857393249,0.058304403,0.7700386,16.811296,0.1753333246474953,0.05705935,,,226.02344124907026,-16.160363135234785,1.0269722,447,47,49,0,1.0,0.05648077691428823
2941937600014502144,93.85778662387449,-18.684639534542228,-0.536694191046184,0.044931803,1.989055380988035,0.059477713,0.66077423,16.681803,0.26774015452940303,0.054019194,,,226.02049238679615,-16.14029423469769,1.0220199,429,48,45,0,1.0,0.05243110207500321
2941937634374245632,93.82722096033093,-18.67931113937618,-0.5730575024414527,0.028741995,2.0118809244278104,0.03489251,0.5988636,15.82143,0.21304348845109225,0.034630004,,,226.00326150263035,-16.16464314754734,0.9653342,428,44,47,0,1.0,0.057516892548656315
2941937634374246400,93.82680646791933,-18.681100788117668,-0.5488104758759174,0.04520195,1.974066796833544,0.055801418,0.7215233,16.650558,0.12043854365072758,0.055578783,,,226.00480187123708,-16.165723980315978,1.0663333,439,47,47,0,1.0,0.03359402349576829
2941937668733975936,93.84358775214206,-18.664146926245348,-0.5910976152906564,0.025942791,1.9806310606768842,0.033811465,0.5931444,15.570273,0.25635273286053584,0.031585924,,,225.99532321183617,-16.144339652905888,1.000358,406,44,43,0,1.0,0.03018949897296389
2941937668733976960,93.84343913832214,-18.665446639866417,-0.599115761302113,0.025278661,1.9113012894605872,0.031563707,0.5493336,15.44379,0.16094961275934885,0.030047497,,,225.99650227351952,-16.14499263174762,0.9924583,418,44,44,0,1.0,0.04890817331571054
2941937668733979264,93.8453596069363,-18.67620255386551,-0.6008657567711958,0.044559542,1.9787081203488053,0.05715719,0.6516514,16.715487,0.23277350693043683,0.053461786,,,226.00751289584946,-16.147665027576004,0.97048247,424,44,43,0,1.0,0.034687846484748396
2941937870594134784,93.8369258463955,-18.656665798305802,-0.5082522109653578,0.058279105,1.9766744159389875,0.073061325,0.73360634,17.208736,0.16477803370839963,0.07217809,,,225.98554640526757,-16.147098360492226,0.9665453,444,43,45,0,1.0,0.0713754941437388
2941937874892405504,93.84250769345657,-18.66204239066781,-0.5485153849865386,0.019233752,1.9000245141554277,0.023881657,0.54102135,14.923824,0.1672136681923032,0.023217289,,,225.99288873223412,-16.144427309281184,1.016068,420,46,45,0,1.0,0.061000568625896125
2941937909252151168,93.80836216016836,-18.660008873544214,-0.5902935194511826,0.02480723,1.918410234787498,0.031777773,0.55592155,15.570592,0.16351269772254942,0.030942785,,,225.97737021182235,-16.17321122546497,0.9951083,449,49,49,0,1.0,0.03873612391058171
2941937909252151680,93.80885274169586,-18.661928176092886,-0.5258906259208797,0.045006327,1.9242499503844679,0.056443878,0.6718178,16.593128,0.293481617275213,0.051542543,,,225.9793941022484,-16.173559691172642,0.97837114,427,45,45,0,1.0,0.058569131877642004
2941937943611883520,93.8301984962791,-18.654154474136686,-0.6148888138341804,0.026031012,1.9724033347619296,0.03128575,0.6028166,15.421141,0.2190335467452774,0.028763667,,,225.98047789076614,-16.151918203657726,1.021626,424,48,50,0,1.0,0.04276558307687709
2941937943611886720,93.81963183208222,-18.657781816703096,-0.5386197429151587,0.060849745,1.9840803488618437,0.072135754,0.82951164,17.19159,0.22673819935880046,0.06996527,,,225.9797306388822,-16.162542311592198,1.0334219,433,49,47,0,1.0,0.04776420131809269
2941937977971649792,93.73535404114484,-18.715180798302246,-0.5978355734934487,0.057170406,1.9132926729015716,0.07108336,0.7217293,17.059523,0.2195715094705126,0.06626071,,,226.0009360502563,-16.258738316669845,1.0610129,428,44,39,0,1.0,0.046548920025658386
2941938012331383168,93.75565683126551,-18.70061830369551,-0.5727308570234912,0.0317927,1.9324117393003912,0.038156483,0.5728092,15.928382,0.12889446759926435,0.036293194,,,225.99511977659202,-16.23527169157394,1.0461905,441,47,48,0,1.0,0.022284320061209374
2941938046691125376,93.7308262626658,-18.703922303147827,-0.5378306350313962,0.04184681,1.950686785791082,0.054448146,0.6217346,16.479723,0.15583117577464403,0.05101285,,,225.98840258128652,-16.258129779404822,1.0153214,412,41,41,0,1.0,0.03843069668374971
2941938149770330112,93.77297820295699,-18.676862382293677,-0.5677514133388425,0.03086578,1.9138969262822423,0.037998453,0.6043711,15.769907,0.18228869170666465,0.035474565,,,225.9793607642874,-16.210682956886,1.0853481,445,48,46,0,1.0,0.041392432901673236
2941938149770332544,93.76613337521198,-18.685454443718196,-0.6149496194802033,0.01193444,1.89873745294065,0.015098761,1.177351,13.582172,0.19963770612096374,0.01386435,92.544685,1.9504403,225.98482908094738,-16.220079649841367,0.9959277,425,47,47,0,1.0,0.06792794780877703
2941938424648237312,93.75347742061469,-18.66477768552741,-0.6304469392441148,0.033168938,1.9499298519102892,0.04241931,0.57578945,16.171398,0.19787143867729118,0.040122904,,,225.96008913736412,-16.222721158553217,0.9437612,454,44,44,0,1.0,0.054556672731303005
2941938459007980672,93.72562543710394,-18.66814448391141,-0.6037786208062069,0.033303168,1.98003530982824,0.039769735,0.55869293,16.02689,0.1420844809189238,0.040333103,,,225.95222520797523,-16.248227958929785,0.9778202,420,44,43,0,1.0,0.03771354716878662
2941938523429134976,93.78239572028173,-18.670440545665638,-0.5357253371676005,0.068969116,1.8988327400867506,0.08966873,0.77409744,17.50113,0.20014160511454457,0.08466022,,,225.97698472629725,-16.199929730349783,1.0344453,437,46,45,0,1.0,0.0687082318212892
2941938699527098496,93.81789494272684,-18.63914100994301,-0.5587199048378415,0.07217955,1.8858566158308006,0.08849073,0.77929497,17.49268,0.2698751709942088,0.08604746,,,225.96128007700082,-16.15653121432478,1.0548584,453,45,43,0,1.0,0.07074899490812042
2941938729587622144,93.78595578344233,-18.641530943767506,-0.5771185691577868,0.040401973,1.8990592463375842,0.05177795,0.6732559,16.485308,0.23897387708296328,0.04970111,,,225.95085103572796,-16.1851891533854,1.0477083,443,48,46,0,1.0,0.05539390132101745
2941938733885873536,93.79111327231186,-18.649845361119834,-0.5652277962786783,0.023259629,1.9556729997870952,0.029223047,0.6075573,15.438574,0.19277293389937483,0.027865618,,,225.96082526801794,-16.18406923957261,0.95511156,443,50,50,0,1.0,0.010918952467936898
2941938871324833792,93.74354527508883,-18.645283841665403,-0.5605265718327035,0.012331349,2.0177421914948175,0.015767554,1.5555649,11.628919,0.2410122947697278,0.015082962,92.32218,0.31589726,225.9375588845621,-16.223477571588816,1.1638956,421,46,46,0,1.0,0.06518103177244376
2941938871324834688,93.74000000089212,-18.646406817203232,-0.6129302953932979,0.021588385,1.9060386052899478,0.028970374,0.6237068,15.230847,0.18861861922836543,0.02800218,,,225.9372193042395,-16.227004459703934,0.98578846,374,44,44,0,1.0,0.06083719501918321
