source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b,ruwe,phot_g_n_obs,phot_bp_n_obs,phot_rp_n_obs,non_single_star,labels,prob
865398458029329280,114.62610981641612,21.54195083754884,-1.2021232565986253,0.023209363,-2.0770744207823606,0.019607697,0.64656925,14.305273,0.36054627070249085,0.021124002,61.93045,19.906597,198.14929942531208,19.648169256803563,1.0318109,211,25,22,0,0,1.0
865396881778276992,114.60963229746208,21.521049726160925,-1.1568592846743764,0.024954297,-2.105348961980367,0.020637507,0.6149559,14.573254,0.42612649010772746,0.022734601,,,198.163650423363,19.62605361112294,0.9944033,233,24,24,0,0,1.0
865396881778674688,114.61041940443958,21.504225417835723,-1.2792676136799375,0.03362063,-2.009783307184249,0.026004173,0.64498806,14.8738575,0.35777982122113,0.031283278,,,198.18046889150264,19.620340921537398,1.0842156,232,24,25,0,0,1.0
865396916138014848,114.61157706782261,21.520301162069885,-1.2803121418713088,0.03770895,-2.0845195627582136,0.031048968,0.6044073,15.272656,0.3977159189256214,0.035034396,,,198.16511507420452,19.627442980393248,1.1639589,226,24,25,0,0,1.0
865398462326231168,114.61398586534573,21.54442943669647,-1.2585415724499402,0.045396786,-2.082232415691024,0.03876406,0.6826916,15.893654,0.41846961472722655,0.040971838,,,198.14231926522024,19.638677302124492,1.0328202,218,22,24,0,0,1.0
865398492389416960,114.63305586678709,21.552663728710048,-1.1238069340845007,0.17681496,-1.9707881586833285,0.16328347,1.2481804,18.4724,0.4041551312097022,0.16730414,,,198.1413789139935,19.65821253379747,0.96664935,215,23,22,0,0,1.0
865398496685952896,114.6354878988709,21.554538223878037,-1.2012408251408964,0.06006628,-2.1054923181621845,0.051956974,0.74596024,16.532822,0.36506561805804205,0.0540555,,,198.1404488495826,19.661016661341243,1.0114774,238,23,23,0,0,1.0
865398496685953536,114.63310608585836,21.556235486403146,-1.1332358570985734,0.01939872,-2.0437581260671025,0.016030224,0.7163973,13.888921,0.378628445514266,0.017070549,84.54111,9.193394,198.13788863808327,19.659611230059323,1.000523,219,24,23,0,0,1.0
865398496685954560,114.62870495272671,21.55857425823969,-1.2059260770407982,0.055734478,-2.030968522991674,0.048417892,0.7484665,16.353384,0.3848253927641595,0.05247412,,,198.13394139072122,19.656711703154446,0.9848709,228,24,24,0,0,1.0
865398531045683456,114.66087693673309,21.551655893281914,-1.1768010268826403,0.023410471,-2.0042613691437428,0.019522948,0.6037178,14.361421,0.39959573795200387,0.021111079,90.28261,12.946528,198.1527964565699,19.68177072961112,1.0343518,224,24,25,0,0,1.0
865398767267337344,114.69201471209308,21.57028363479127,-1.2429855801486305,0.06898205,-2.1171573162853705,0.06592374,0.78264046,16.593815,0.3642714075545333,0.064924,,,198.1461561017626,19.715631185774107,1.0311879,194,20,21,0,0,1.0
865398771563839360,114.68845166001842,21.572621552528933,-1.2420113357244043,0.04894288,-2.0066382246420584,0.046380296,0.6827469,15.947643,0.42457884867508383,0.045078084,,,198.1425234159471,19.713451649183646,1.0010678,203,22,20,0,0,1.0
865399080801479168,114.6998790063468,21.588013430090456,-1.2497281132330573,0.05469247,-2.014126385614075,0.046864383,0.72567654,16.30583,0.36349815380795725,0.051044,,,198.13167286092963,19.729120101815067,1.0454161,211,21,19,0,0,1.0
865399183881133568,114.70066043606347,21.60564079961614,-1.2106455886649363,0.059790518,-2.0799083344432256,0.053586453,0.76053333,16.404026,0.4221023654717906,0.05583199,,,198.11463553917048,19.7364734423369,0.9915179,196,20,18,0,0,1.0
865399458758668544,114.53885603725406,21.516324820328773,-1.2563109669736794,0.027004177,-2.083109370304916,0.022203507,0.585783,14.772382,0.41733339614670917,0.024576318,,,198.14173693858788,19.563352462759873,1.097455,234,25,26,0,0,1.0
865399802356044800,114.58204454752428,21.519618427069144,-1.2282260138279546,0.03796879,-2.131053659566396,0.03149541,0.6349983,15.529346,0.40252524724892413,0.034735147,,,198.15470746344099,19.60176879255599,1.0318073,233,24,23,0,0,1.0
865399836715784832,114.55487689524304,21.531234853425843,-1.2823132284843688,0.024179583,-1.9644313006780256,0.018326368,1.0463343,14.336696,0.38813067933072876,0.02035682,74.84802,3.7104688,198.1331102391678,19.582803944248315,0.908054,229,25,24,0,0,1.0
