source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b,ruwe,phot_g_n_obs,phot_bp_n_obs,phot_rp_n_obs,non_single_star,labels,prob,rradec
865398595468635008,114.63922664837405,21.55647640563015,-0.6130551205885637,0.1912204,-6.265113040948234,0.1791661,1.4281788,18.518066,0.3997463568965458,0.1753806,,,198.1399458591541,19.66496933069758,0.9465065,202,21,19,0,0,1.0,0.038478007645120375
865398599765162752,114.64179678243754,21.560443092416808,-1.0484116593609918,0.12557563,-2.0111458450206303,0.11416982,1.0576935,17.88666,0.35169609486158193,0.11380649,,,198.1370116809251,19.66868605756347,1.0426638,225,24,24,0,0,1.0,0.03908071700832628
865398629828015616,114.65670567977473,21.5699600373629,-1.2880030167808272,0.015438893,-1.9208315456688672,0.012678584,1.1534262,12.321694,0.4068340526695107,0.01402061,72.240036,0.78664255,198.13324655951504,19.68512531393658,1.0958192,236,27,27,0,0,1.0,0.05136875045379165
865398634124892160,114.66059913230912,21.574200871448248,-1.1913719264497562,0.039985374,-1.9282004499499292,0.03397471,0.6557598,15.65809,0.421420782334888,0.036054693,,,198.13053765459125,19.690084054488764,0.9930547,235,25,24,0,0,1.0,0.05500453549426068
865398634124894208,114.65448872657197,21.571854369642253,-1.3303105125036476,0.08928548,-1.9927007803710357,0.07839254,0.98472404,17.23078,0.45773242822159366,0.08095586,,,198.13055443086105,19.683936278595198,1.022895,234,25,24,0,0,1.0,0.04899868580510116
865398634124894848,114.65182772862607,21.572623110985482,-1.1957780395782616,0.026009293,-1.981512131604366,0.0217151,0.60059357,14.650308,0.3438370960498724,0.022925343,,,198.12880206863977,19.68193822089536,0.92983264,228,24,25,0,0,1.0,0.04629529013281497
865399866780960640,114.57032631412919,21.53413514161932,-0.843074769327019,0.23807576,-2.348895551492609,0.2143342,1.4320602,18.859148,0.44705842932770995,0.21787962,,,198.13605745699408,19.59719952738248,0.9271937,210,20,20,0,0,1.0,0.05412593022119152
865399871075521280,114.56860042543303,21.53293682050675,-1.1974943065845758,0.021145567,-2.102008204551194,0.017868022,0.8415508,14.0678835,0.40074237418498243,0.018541267,81.55438,7.786592,198.13658677888165,19.59525924309147,1.0401216,225,25,25,0,0,1.0,0.0561621136885662
865399901138342272,114.58810514398309,21.528265385514946,-1.2659830365563685,0.016714003,-1.961403765067976,0.013627443,1.0751657,12.357642,0.43115550311610296,0.015714169,73.59298,1.2604673,198.14848969450122,19.61026871958677,1.1768643,228,26,26,0,0,1.0,0.05007692880765788
865399901138675712,114.58758160553005,21.533545466701543,-1.5129443542721375,0.098238975,-2.1024003403702425,0.083832,1.2647305,17.41228,0.41842617735911075,0.09174864,,,198.14310812562934,19.611823591438547,1.0173998,221,24,21,0,0,1.0,0.045372775713943984
