source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b,labels
3372757587560781056,98.25111231901026,20.3387086213376,0.32474810430624323,0.15445444,-1.2443419350018838,0.116899796,1.0862484,17.970844,0.3931722196703043,0.1470671,,,192.74218869699288,5.246359140768021,0
3372757591858105984,98.2431261782417,20.34355462848646,0.3704072895661404,0.056370936,-1.1753980583451729,0.043516856,0.8063288,16.101692,0.36474324690358756,0.05590989,,,192.7344371996824,5.241890136899727,0
3372757660577579776,98.24141537316859,20.358864069317814,0.25581908025272065,0.035890568,-1.08869965898621,0.027383538,0.8240595,15.109623,0.2996558389187717,0.03479104,,,192.72000993565933,5.247416896013826,0
3372757759359499136,98.17917391392486,20.343001101997665,-0.22268782573147167,0.08083661,-1.626896161937151,0.061698396,0.92351913,16.89471,0.2539000966775752,0.077108316,,,192.7075658277707,5.188226330720081,0
3372757798016540544,98.19802387688553,20.361798591269036,0.22163472925605088,0.0182709,-1.7789478453426504,0.014464579,0.3828373,12.670864,0.2991172051320787,0.017304441,,,192.6988210623374,5.21251304168754,0
3372757935455487616,98.22084652702182,20.374549266943827,0.7406133385988242,0.06171148,-2.0421714032661016,0.04750088,1.1230526,16.355633,0.33046350591264806,0.060674638,,,192.69718023675458,5.237366303768912,0
3372758137316738048,98.2987677183429,20.38681182265887,0.6973295713357738,0.1478551,-2.271926352397961,0.118776396,1.0912514,17.739481,0.26023413489489167,0.12738818,,,192.71952764271836,5.308009791350222,0
3372758347772344064,98.24090859611461,20.394207321313154,-0.3325239638021749,0.035553176,-1.9301679014730866,0.027689012,0.5904064,15.187945,0.2480533045091191,0.03793947,,,192.6881750010238,5.263050521222184,0
3372758382132079360,98.26640724576625,20.390517722400386,-0.24132438430248246,0.11240089,-0.9043703961010006,0.08269394,0.9501953,17.349825,0.34234271612867534,0.101602666,,,192.70237850589035,5.282667261630141,0
3372758480916585984,98.26520550975928,20.419699387458977,0.49696182409603035,0.10020016,-0.8967171423693597,0.076305516,0.8576088,17.242357,0.24542999856905845,0.094798066,,,192.67575504429414,5.294916824633268,0
3372758549633537920,98.3652840917861,20.365739502600047,0.22296387042339774,0.09757573,-1.7035806090816124,0.07474721,0.9241371,17.047417,0.29966585066490903,0.096891604,,,192.76680999972416,5.35400723866919,0
3372758618353037056,98.35852011830629,20.373544881289455,0.8837011340552768,0.13489082,-1.6517044837040462,0.1025698,1.0817051,17.628342,0.2708525872564748,0.119543485,,,192.75693412466325,5.351898177158755,0
3372758618357411968,98.34903836687342,20.373606232533504,0.31916191759203943,0.10749196,-1.6797870049486594,0.08151538,1.1641636,17.257597,0.42313384018471434,0.097955465,,,192.75282816201792,5.344005239474856,0
