NGC4755_1,Arp_1,RAJ2000,DEJ2000,pmRA,pmDE,recno_1,NGC4755_2,Arp_2,x,y,Vmag,B-V,recno_2
368,0,12 54 20.445,-60 22 27.00,-2.21,-4.36,227,368,0,938.352,1814.006,14.371,0.488,368
370,0,12 53 55.016,-60 21 46.44,-3.31,-8.29,228,370,0,1037.871,1332.087,14.386,0.398,370
371,0,12 54 19.047,-60 20 26.94,1.97,-3.88,229,371,0,1244.558,1786.177,14.391,0.554,371
372,0,12 53 34.328,-60 22 21.62,-17.17,11.37,230,372,0,947.408,939.531,14.398,0.428,372
373,0,12 54 04.375,-60 24 31.38,-0.69,-3.22,231,373,0,619.084,1512.328,14.398,0.457,373
376,0,12 53 16.336,-60 18 09.88,-1.49,-5.41,232,376,0,1585.382,594.568,14.401,0.421,376
378,0,12 53 21.516,-60 20 37.06,8.08,-12.96,233,378,0,1209.435,697.567,14.409,1.096,378
382,0,12 53 41.586,-60 23 47.38,-4.46,-3.9,234,382,0,727.84,1080.196,14.419,0.394,382
386,0,12 54 00.367,-60 21 23.25,-0.96,2.24,235,386,0,1097.415,1433.882,14.428,0.442,386
387,0,12 52 56.711,-60 21 29.38,-2.15,2.92,236,387,0,1073.179,227.841,14.434,0.572,387
391,0,12 54 05.773,-60 26 05.25,-5.25,5.41,237,391,0,381.276,1539.685,14.445,0.656,391
395,0,12 53 26.469,-60 25 45.44,1.35,-6.45,238,395,0,423.955,797.514,14.454,0.364,395
397,0,12 53 11.055,-60 19 45.62,-2.1,-0.26,239,397,0,1340.438,496.869,14.466,0.399,397
398,0,12 53 37.234,-60 17 54.06,-0.59,-7.64,240,398,0,1628.84,990.69,14.466,0.44,398
400,0,12 53 34.367,-60 21 24.00,4.38,17.64,241,400,0,1095.247,941.587,14.478,0.402,400
401,0,12 53 09.578,-60 19 33.38,1.8,1.25,242,401,0,1371.527,469.008,14.483,0.443,401
403,0,12 52 55.906,-60 18 57.00,-6.7,-2.27,243,403,0,1461.27,208.136,14.487,0.537,403
411,0,12 53 01.180,-60 19 30.62,2.18,-1.34,244,411,0,1376.657,310.049,14.525,0.456,411
413,0,12 53 41.930,-60 23 31.00,5.66,9.32,245,413,0,771.255,1087.543,14.529,0.448,413
423,0,12 53 07.609,-60 26 24.38,-4.65,-2.48,246,423,0,321.726,441.392,14.568,0.434,423
429,0,12 52 56.867,-60 23 42.56,-7.4,8.57,247,429,0,733.969,233.643,14.608,0.535,429
435,0,12 53 40.578,-60 18 03.44,2.15,2.97,248,435,0,1606.637,1054.517,14.643,0.448,435
437,0,12 54 00.703,-60 22 34.69,-19.22,10.01,249,437,0,917.716,1438.722,14.652,0.489,437
438,0,12 54 08.820,-60 18 05.12,-3.3,-0.28,250,438,0,1606.2,1589.535,14.663,0.492,438
439,0,12 53 08.461,-60 21 05.06,-10.01,-5.35,251,439,0,1136.505,448.877,14.683,0.436,439
443,0,12 54 00.742,-60 25 16.50,-17.29,-18.06,252,443,0,501.757,1442.551,14.696,0.432,443
445,0,12 53 53.719,-60 25 23.69,-8.61,-0.54,253,445,0,484.108,1310.856,14.708,0.417,445
448,0,12 53 59.664,-60 25 35.06,-0.63,-13.7,254,448,0,453.075,1424.418,14.719,0.399,448
452,0,12 52 50.820,-60 22 54.25,-7.76,13.2,255,452,0,856.587,117.93,14.732,0.547,452
478,0,12 53 51.555,-60 20 53.06,15.58,1.47,256,478,0,1174.553,1267.672,14.845,2.486,478
