Age,Slope,Intercept,Slope_Error,Intercept_Error,R_Value,(BP-RP)TurnOff,GmagTurnOff,Ajustadas/Total
7.8, 3.5227454366867113, 0.5672798864422486, 0.02605875108129801, 0.0467496996325985, 0.9996445108082913, -0.29000000000000004, -2.621, 0.12195121951219512= 15/123
7.9, 3.4535327632482176, 0.660093159580553, 0.06350508458182347, 0.06052895116639906, 0.9986501987744231, -0.2629999999999999, -2.384, 0.08849557522123894= 10/113
8.0, 3.4510036422786614, 0.6864269782759992, 0.045575741460814764, 0.04724984874746161, 0.9993901159868566, -0.23499999999999988, -2.157, 0.07964601769911504= 9/113
8.1, 3.4493541125204037, 0.7070572069352635, 0.04672261835687371, 0.05304794197707112, 0.9994500266483759, -0.20699999999999985, -1.935, 0.07547169811320754= 8/106
8.2, 3.4921360497902545, 0.7267476951645335, 0.05291019471750263, 0.05983457337782375, 0.9993120302983659, -0.17999999999999994, -1.713, 0.07692307692307693= 8/104
8.3, 3.5133769836229622, 0.7371760770360642, 0.047672686401861064, 0.054438667265676505, 0.9994481114764955, -0.15100000000000002, -1.489, 0.0761904761904762= 8/105
8.4, 3.413000155007253, 0.9289552859011141, 0.05484817731622768, 0.061896091822036196, 0.9990973248680918, -0.121, -1.259, 0.09090909090909091= 9/99
8.5, 13.801938610662335, 1.4649954765751199, 0.6117494519332025, 0.0313069917030104, 0.9941578939798258, -0.09099999999999997, -1.022, 0.08421052631578947= 8/95
8.6, 3.3558336239089233, 1.0203513484437805, 0.04513376617743039, 0.04779787882612894, 0.9991870104671897, -0.05700000000000005, -0.781, 0.11827956989247312= 11/93
8.7, 12.483577796951428, 0.6461149266609141, 0.7677742328467808, 0.027741473894359166, 0.9834009899711224, -0.014000000000000012, -0.528, 0.12359550561797752= 11/89
8.8, 13.430166880616202, -0.011028883183570759, 1.188635253050417, 0.10984722735508361, 0.9665115901164758, 0.04099999999999998, -0.264, 0.12359550561797752= 11/89
8.9, 11.220127565454433, -0.5183210740188233, 1.0871682852120963, 0.19606823896272335, 0.960253401999497, 0.117, 0.027, 0.11578947368421053= 11/95
9.0, 3.592238392358887, 0.7742608850018335, 0.0692703708010176, 0.06164008567152142, 0.9977763546756415, 0.216, 0.353, 0.1590909090909091= 14/88
9.1, 3.417727253690588, 0.8439717042046011, 0.04071849539545049, 0.05615700981184147, 0.9991494388838683, 0.32899999999999996, 0.7, 0.1686746987951807= 14/83
9.2, 3.3971286956343625, 0.9210877987485793, 0.053315592268505234, 0.06155246555916689, 0.9988934382248295, 0.43600000000000005, 1.061, 0.14285714285714285= 11/77
9.3, 3.4707921834900395, 1.0227818998544191, 0.07630239363990207, 0.09644912684931381, 0.998553238043082, 0.5310000000000001, 1.42, 0.10526315789473684= 8/76
9.4, 3.269564781560041, 1.372969392694273, 0.07796455918864346, 0.11281095317070262, 0.9985814987120896, 0.595, 1.778, 0.10606060606060606= 7/66
9.5, 3.182797669786935, 1.6839443952363329, 0.04939163778573696, 0.06132231189128027, 0.998918077753266, 0.6220000000000001, 2.314, 0.18333333333333332= 11/60
9.6, 3.081693049947215, 2.053149432394492, 0.030329915275732026, 0.05010410705868745, 0.9995643955505326, 0.649, 3.252, 0.19642857142857142= 11/56
9.7, 3.019700579699034, 2.2164581984202023, 0.030295909150429047, 0.04978514100492593, 0.9994970989847787, 0.6940000000000004, 3.454, 0.22641509433962265= 12/53
9.8, 3.0254566899777817, 2.2451055490243923, 0.03499014093229439, 0.04864400696063689, 0.999465409630167, 0.7349999999999999, 3.65, 0.20833333333333334= 10/48
9.90001, 2.9534721537965622, 2.363624966445572, 0.028761761884078398, 0.05676593607762931, 0.9996208787102774, 0.7769999999999997, 3.866, 0.22727272727272727= 10/44
10.00001, 2.940352356796735, 2.4232071386051404, 0.02689254265471685, 0.05685621650019376, 0.9995820131472495, 0.8209999999999997, 4.065, 0.2727272727272727= 12/44
10.10001, 2.9392610256876726, 2.4149333149073646, 0.03663994098052299, 0.06483171422281003, 0.9993790044026678, 0.8659999999999997, 4.292, 0.2631578947368421= 10/38
