  ID     REF  V        B-V
   0338    88  20.155   0.992
   0339    88  19.871   0.771
   0340    88  15.633   1.523
   0341    88  18.674   1.268
   0342    88  19.323   0.767
   0343    88  18.917   0.904
   0344    88  15.673   1.336
   0345    88  18.244   1.108
   0346    88  16.275   1.271
   0347    88  20.014   0.744
   0348    88  20.400   0.810
   0349    88  17.873   0.764
   0350    88  19.937   1.025
   0351    88  21.400   1.057
   0352    88  18.732   1.082
   0353    88  19.455   0.879
   0354    88  19.652   0.825
   0355    88  19.312   0.845
   0356    88  20.683   1.343
   0357    88  18.185   1.001
   0358    88  18.843   1.126
   0359    88  17.667   1.099
   0360    88  20.970   0.971
   0361    88  17.533   0.956
   0362    88  18.977   0.843
   0363    88  20.622   1.691
   0364    88  21.691   1.727
   0365    88  19.663   0.997
   0366    88  19.946   1.099
   0367    88  19.703   0.909
   0368    88  17.501   0.944
   0369    88  19.032   0.858
   0370    88  18.571   0.988
   0371    88  17.904   1.124
   0372    88  19.885   1.285
   0373    88  19.688   1.035
   0374    88  16.860   1.191
   0375    88  16.481   1.233
   0376    88  20.463   2.216
   0377    88  20.999   1.428
   0378    88  19.221   1.244
   0379    88  20.284   0.684
   0380    88  19.546   1.080
   0381    88  19.234   0.855
   0382    88  20.136   0.995
   0383    88  20.863   1.061
   0384    88  18.116   0.861
   0385    88  18.004   1.654
   0386    88  20.243   0.920
   0387    88  17.490   0.967
   0388    88  18.445   0.511
   0389    88  21.532   1.618
   0390    88  19.854   1.329
   0391    88  18.949   1.188
   0392    88  19.590   0.843
   0393    88  18.057   0.605
   0394    88  19.697   1.096
   0395    88  20.289   0.896
   0396    88  19.503   0.955
   0397    88  18.539   1.110
   0398    88  18.340   1.058
   0399    88  17.359   1.147
   0400    88  17.464   1.085
   0401    88  21.173   2.359
   0402    88  18.759   0.821
   0403    88  19.726   1.802
   0404    88  20.963   1.041
   0405    88  19.201   0.940
   0406    88  19.875   1.080
   0407    88  18.614   1.260
   0408    88  19.121   1.074
   0409    88  20.473   1.154
   0410    88  19.945   1.383
   0411    88  17.436   0.860
   0412    88  15.546   1.395
   0413    88  21.241   0.951
   0414    88  17.792   0.895
   0415    88  16.406   1.044
   0416    88  19.184   0.977
   0417    88  18.566   1.284
   0418    88  18.621   0.830
   0419    88  19.403   0.993
   0420    88  19.126   1.004
   0421    88  19.963   1.092
   0422    88  21.580   1.976
   0423    88  21.494   1.035
   0424    88  19.175   1.178
   0425    88  18.556   0.875
   0426    88  17.872   1.167
   0427    88  18.471   0.986
   0428    88  19.370   1.017
   0429    88  18.396   0.830
   0430    88  19.497   1.199
   0431    88  18.715   1.087
   0432    88  20.382   1.789
   0433    88  18.323   0.886
   0434    88  16.455   1.218
   0435    88  17.658   0.822
   0436    88  17.744   1.236
   0437    88  18.967   0.998
   0438    88  21.874   1.920
   0439    88  18.739   1.197
   0440    88  19.152   1.047
   0441    88  19.475   1.081
   0442    88  19.359   1.443
   0443    88  20.408   0.820
   0444    88  17.716   1.189
   0445    88  19.598   1.027
   0446    88  19.935   1.105
   0447    88  19.751   0.847
   0448    88  19.110   0.632
   0449    88  19.164   0.819
   0450    88  18.994   0.982
   0451    88  20.480   1.482
   0452    88  15.580   0.990
   0453    88  16.580   1.275
   0454    88  17.571   0.896
   0455    88  20.802   1.845
   0456    88  18.605   0.992
   0457    88  21.555   1.381
   0458    88  19.430   0.875
   0459    88  19.719   1.000
   0460    88  18.985   1.302
   0461    88  20.298   0.686
   0462    88  19.280   1.194
   0463    88  19.594   0.814
   0464    88  19.629   0.718
   0465    88  19.684   1.436
   0466    88  17.209   0.911
   0467    88  19.423   0.797
   0468    88  16.368   0.667
   0469    88  19.680   0.922
   0470    88  21.389   1.198
   0471    88  19.791   0.947
   0472    88  19.137   1.210
   0473    88  20.543   1.022
   0474    88  18.346   1.189
   0475    88  20.363   1.218
   0476    88  19.888   0.808
   0477    88  18.144   0.812
   0478    88  19.723   0.865
   0479    88  20.037   1.130
   0480    88  21.655   1.930
   0481    88  19.443   0.828
   0482    88  18.303   0.907
   0483    88  19.676   0.937
   0484    88  18.783   1.392
   0485    88  18.781   0.791
   0486    88  18.452   1.024
   0487    88  18.807   1.048
   0488    88  18.793   0.713
   0489    88  18.259   1.240
   0490    88  18.864   0.886
   0491    88  18.782   1.000
   0492    88  19.611   0.799
   0493    88  19.650   1.106
   0494    88  20.008   0.781
   0495    88  19.052   0.685
   0496    88  19.233   0.888
   0497    88  19.274   1.024
   0498    88  19.918   0.957
   0499    88  17.467   0.911
   0500    88  21.038   2.375
   0501    88  19.612   0.982
   0502    88  16.257   0.914
   0503    88  18.218   1.143
   0504    88  20.549   1.222
   0505    88  19.065   0.901
   0506    88  15.867   1.008
   0507    88  19.612   1.436
   0508    88  20.409   1.041
   0509    88  19.855   1.038
   0510    88  19.215   0.965
   0511    88  19.174   1.048
   0512    88  17.826   1.049
   0513    88  19.745   1.377
   0514    88  21.087   0.985
   0515    88  21.253   1.882
   0516    88  20.814   1.203
   0517    88  20.102   1.276
   0518    88  18.825   1.313
   0519    88  17.481   1.204
   0520    88  19.301   0.890
   0521    88  19.723   0.903
   0522    88  13.963   2.646
