source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b
3372763570452552320,98.30830965825999,20.491105534910886,0.9710974066549535,0.02544358,3.909222720014042,0.019994436,0.8999386,14.013443,1.6259822839652365,0.023187554,-16.422329,15.530857,192.6302700447248,5.3633188985336
3372763600514140800,98.33138639713604,20.49924874180881,-0.9184813951885799,0.14331652,-3.3160560699435044,0.10791534,1.3085155,17.567142,0.9042689212458941,0.12732427,,,192.63283369579148,5.386276456870662
3372763634873898240,98.34237640772416,20.509252334416907,0.7111529652336616,0.17350394,-1.3636292047441918,0.12638073,1.2103977,18.058983,0.35959368117375246,0.16288206,,,192.62857012641132,5.399988340358864
3372763634877341568,98.34112586978812,20.49557772809919,0.6967849324781653,0.09667114,0.30733642875034217,0.072659835,1.003355,16.992207,0.24344155835825246,0.087808944,,,192.6402770586507,5.392740805833709
3372763639172018944,98.33902045512005,20.504816437118322,-0.814213257603105,0.044951733,-0.6159710698411472,0.03437096,0.6621027,15.500091,0.13810322842178566,0.04048573,,,192.6311085419936,5.395174726774062
3372763639172020608,98.3404859475395,20.497827180299687,0.2530203932336661,0.11760756,-1.1509300704459533,0.08836199,0.94430923,17.162235,0.8600713042791335,0.10720083,,,192.63799036179793,5.393227154785018
3372763639172020736,98.34104361358182,20.49715704759211,0.5927375752742987,0.02712501,-2.418021397642822,0.02096508,1.5008936,14.324803,0.4247024121368554,0.024323901,7.641338,5.5652766,192.63882825271295,5.393388640879568
3372763669233404928,98.31648710133643,20.49692003783795,-0.7073642268614947,0.019823289,-1.8389915244171735,0.01553009,0.42149067,12.39427,0.36417910129324704,0.01979218,,,192.62855744365888,5.372783301069377
3372763669233646592,98.31314162939383,20.50854019119466,1.6823095340635736,0.020045456,-2.7119349357674407,0.016294433,1.4460049,13.065811,0.36233224609472436,0.017279195,30.52706,3.6174502,192.61672866638034,5.375264124001433
3372763673531762304,98.3166755074265,20.504820539778756,0.5610954215026727,0.037576657,-0.778515905750356,0.029555742,0.6753397,14.9270735,0.15564966141602365,0.03144163,,,192.6215665753041,5.3765257097570665
3372763673532047616,98.30932633930215,20.505103702162035,-1.4930892681462828,0.022720955,-1.9338371114583246,0.017294418,1.3904724,13.64758,0.45058078885970204,0.024965683,52.368294,2.2862978,192.6181755982578,5.370520262126683
3372763737953088384,98.28001368738354,20.495750997308676,0.6807202604195258,0.31023127,-3.598388565248032,0.24473044,1.195795,18.893541,0.5709144014183961,0.25647697,,,192.61402903501983,5.34181006112812
3372763772312833664,98.30102844183659,20.498977677569194,1.2266935972572466,0.14704795,-4.133102170658888,0.102903314,1.212017,17.520292,0.7452535748873279,0.118022375,,,192.62011549866878,5.360814252868318
3372763776607706880,98.29439187809358,20.496032188956573,0.36431239413462607,0.09962114,-2.032583874693267,0.07375486,1.0857458,16.789207,0.351604708692102,0.08817325,,,192.6199177320911,5.353938164875276
3372763806672619008,98.27554385846302,20.507616036829866,2.1683145730319633,0.15001167,15.13036725071206,0.124993846,2.800331,17.773928,5.15200947167768,0.1333233,,,192.601502025033,5.343466051983655
3372763810967446784,98.27833192643003,20.506434121992083,-0.4134658627716536,0.1861329,-3.8041793884201436,0.15313971,1.262249,18.20998,0.368690029266636,0.16517437,,,192.6037503983425,5.345256284468769
3372763810970722048,98.27981562073523,20.50627516472047,1.1232163229668486,0.13018937,-0.421832118742882,0.1020999,1.0294914,17.590555,0.3714912194390272,0.11672874,,,192.60452626768037,5.346422356120298
3372763810970724608,98.2705236739335,20.498301136977513,-1.0299289537890202,0.084323816,-1.698402305410557,0.06554417,1.0860119,16.836939,0.4863856848100474,0.07803416,,,192.6076937379145,5.335047473117514
3372763845330457984,98.28457758928015,20.52032666109082,0.6136878637117663,0.18537027,-3.401896249412534,0.13981515,1.2961807,18.098667,0.5202655460809299,0.16903841,,,192.59398453278797,5.356774882410254
3372763845330459520,98.27847717260431,20.513566866366006,8.248894940876987,0.019534668,-2.481194334967084,0.015087148,1.319541,9.444915,1.789226754709315,0.018226901,-13.483036,0.21076268,192.59742921743694,5.348615480413161
3372763875392071040,98.30186638753895,20.50948914070856,16.383449339596375,0.02291908,-8.447244582795518,0.017873341,0.90389824,12.913582,1.4207505583867566,0.023236547,-56.158108,2.1960332,192.61106558787145,5.366284315880906
3372763875392072320,98.30609677213633,20.51235464323718,3.5460622153671215,0.17914277,1.6724143341427946,0.1316216,1.7898045,17.957325,0.7388859035102482,0.17484444,,,192.61030704006444,5.371115442546231
3372763875392088192,98.30922893818224,20.518749002921062,0.15659111359571373,0.05299976,-0.15138117223283765,0.03905944,1.0960321,15.747283,0.2968942212768923,0.046222128,,,192.60592102726415,5.376631325875678
3372763879690190592,98.30539090963038,20.522342476387454,-6.126390000469324,0.29322022,2.092903727779294,0.2310089,2.2702465,18.62366,1.3072086781438768,0.25122133,,,192.60106632430868,5.375059016456158
3372763879690195328,98.29793503696332,20.513097554470743,-0.4272126392259552,0.056934554,-2.5208417113090587,0.041968606,0.8598957,15.782539,0.19755482855745818,0.05735434,,,192.60615756824586,5.364640967998333
3372763879690474496,98.31324377879292,20.512827760657874,1.3423463116934915,0.068546526,-3.3822885794072746,0.05006705,1.1860838,16.191198,0.3568766752423268,0.05812453,,,192.61293470474024,5.377295041573748
3372763909751824256,98.31645919890788,20.517801471723836,-0.10973546359742992,0.030108308,-1.2964207511256207,0.022686435,1.5875063,14.505782,0.14297192714304774,0.026251946,36.371822,3.4932218,192.60985553958824,5.382235586094784
3372763914049924992,98.31914781629744,20.527738844058554,-0.1980378522173203,0.07057984,-1.133410697250466,0.053682335,0.8605871,16.388205,0.24111210592378454,0.06293251,,,192.60210841730026,5.388988541211675
3372763914049928320,98.3077061797967,20.52420897291691,-0.14997593478574892,0.068884656,-1.29471360776415,0.05120815,0.9349718,16.37341,0.21430559427463033,0.0626769,,,192.60038408638752,5.377838235240641
3372763914050204928,98.32579130550174,20.521898318779098,7.295582104360672,0.04751825,-9.771216682490387,0.036334667,1.0297546,15.343554,0.8402312159934275,0.043016296,,,192.61017179172626,5.391882994090362
3372763944111578240,98.28631129587171,20.52547648401973,-1.0706712561836296,0.06654335,-2.6893779760502143,0.0498707,0.9259701,16.102129,0.4571240813284562,0.10398526,,,192.59011588675043,5.360559204988434
3372763948409669632,98.2962895957627,20.522391730413975,0.08929296406719234,0.02662905,-1.3239059909428699,0.019349664,1.3584471,13.989558,0.1681272281131666,0.03218674,44.619324,4.7049937,192.59713681939286,5.367486023084938
3372763948409671936,98.29138310149835,20.519895546234522,8.549402132751444,0.044238467,-10.660145338472047,0.033289954,1.00315,15.362011,0.8985798373887723,0.044116523,,,192.59727609494928,5.362258495920254
3372763978471350656,98.30256620815663,20.539562017954278,-0.4645551445898001,0.058396716,-1.5295379121153534,0.041160427,1.0124846,15.76204,0.5525430975715071,0.070972085,,,192.58444841103844,5.380516196405297
3372763982769401344,98.31341237787498,20.534944573504912,-0.13937471914334187,0.032002974,-1.2687623244931283,0.025465883,1.5055342,14.549175,0.12099722867135795,0.027455566,37.31271,9.867607,192.59321071863326,5.387471769086076
3372763982769403648,98.31094499262568,20.52843570975524,-0.12596702578640573,0.047641374,-1.3598058298566686,0.035454236,0.8845644,15.639306,0.1023610347724334,0.044501767,,,192.59798345538192,5.382459182039318
3372764051488900352,98.23036303107519,20.488485157433274,-0.8262063483211529,0.09228838,-1.9827326430815946,0.071162425,1.0366306,16.970161,0.44819044262432284,0.10490282,,,192.59931978342541,5.297073536883555
3372764051488900992,98.22948031193776,20.486582580596185,-0.0924550044445112,0.023149492,-1.8719767939256324,0.019274859,0.71737385,13.694941,0.7534246210962382,0.023223441,,,192.6006448322575,5.295472679658921
3372764150269952512,98.24214020273023,20.49742551321181,4.5602700477810405,0.30615026,-6.321485886755686,0.2254706,2.1667957,18.809973,2.109536506872347,0.32894018,,,192.59635256537936,5.3109624772514685
3372764154568111744,98.24078893092738,20.502270109115585,0.40797087997649895,0.025714895,-2.3018021495500705,0.020574484,0.44900703,14.047532,0.24704102607810136,0.027615799,,,192.5914404853052,5.312035016031587
3372764188927847168,98.25436394583028,20.50720274818502,1.2211055116751186,0.055775058,-4.23771821361265,0.04110679,0.95065594,15.666154,0.46389524725669035,0.055662952,,,192.59282581115346,5.325603292998687
3372764188927847808,98.24813830559106,20.507696688844394,-0.3253549877627735,0.041183494,-1.3915832416691236,0.032043476,0.6569338,15.288424,0.2264398261995503,0.044116396,,,192.58972448642226,5.320632349732609
3372764223287590016,98.22432597072127,20.507077701143796,-1.8757398623445325,0.06363096,0.3408719848617795,0.049713958,0.95140743,16.299416,0.2887065215532877,0.07229275,,,192.58010524430748,5.3004808708397455
3372764223287590528,98.2227125750903,20.506119638867574,1.1320782294616099,0.026301164,-7.381214813920327,0.021010142,0.941946,14.351064,0.9465047184759283,0.02926949,19.69262,6.768816,192.58027307176718,5.2986994233234235
3372764257647324032,98.24585579151115,20.514373268551456,0.9688941179983646,0.04000745,1.2455016485748522,0.031357374,1.0821648,15.187627,0.8109291686131852,0.044016995,,,192.58277526727076,5.321759580417324
3372764257647325696,98.23832845323918,20.50924147298939,-0.7200764604930381,0.05533598,-1.815521950815805,0.0434632,1.3612375,15.90152,0.21683262292552602,0.06279479,,,192.58415159263745,5.313147884660806
3372764322068658816,98.20128305224797,20.504061685335333,-1.8577407082991422,0.22258659,-9.725536283843748,0.17199308,1.9150753,18.484306,1.1424775540150056,0.25202698,,,192.57295690485773,5.2798834795775225
3372764326363541760,98.20796099975958,20.50784037329038,0.9778949558324221,0.28215387,-1.730932932718844,0.21827,1.2171288,18.923904,0.7168325566631146,0.32556263,,,192.57243016482792,5.287172235510361
3372764326366809088,98.19939359000868,20.506232297798643,0.30134527908744635,0.08304689,-9.298904467087853,0.06300279,1.1801853,16.53211,0.6577772702809047,0.09339912,,,192.57020752817513,5.2792931459374355
3372764356428404736,98.18258389163019,20.507315056111878,0.23024536638794058,0.057050932,-0.8866889353328667,0.044621486,0.86148834,16.124212,0.3864650168535313,0.06707254,,,192.56205442069023,5.265759883012574
3372764390788154240,98.2021176717319,20.514309418990937,0.6830214207418507,0.22984587,-3.3181179242430523,0.17878515,1.7214527,18.577612,0.5526705019365823,0.26227692,,,192.56414562689244,5.285235732052494
3372764425147648256,98.21837129492467,20.512996392167967,0.8396223844701765,0.021031016,-1.9145737403331677,0.017009431,1.3541641,12.84614,0.3432440703638833,0.023222268,40.13957,1.2589927,192.5722655128064,5.2982007160548275
3372764429446019072,98.22220580465554,20.517686231549618,0.7010668888387077,0.039416928,-3.545015914271625,0.031063307,0.85038567,15.278204,0.20816963270737884,0.04523618,,,192.56970777884007,5.303530443883996
3372764459507650816,98.23166929017312,20.523598171361158,0.7482789080272739,0.07501138,-0.1871823238329457,0.058909036,1.0225925,16.619999,0.33063556052636256,0.09028234,,,192.56846099752755,5.314111674991195
3372764459507650944,98.23323414328391,20.520462550732052,2.0188915175662285,0.24059658,-3.9971897796642977,0.18509401,1.5463657,18.6006,0.7286156049736621,0.32803804,,,192.57193510714222,5.313993257658988
3372764459507658112,98.22747016808786,20.52793097793514,2.731436393158655,0.09318997,-2.1344059445787766,0.07274837,1.0999775,16.986406,0.35315115075196785,0.10795899,,,192.56279041796756,5.312575984571659
3372764463805755776,98.22740814865416,20.520119428990075,1.2546212699546735,0.08047935,-3.6737537447350186,0.06290614,1.0315514,16.757711,0.3214577372344088,0.09343685,,,192.56975328003034,5.308976323344162
3372764463805756672,98.22632315768162,20.518513344895638,-0.38586214770657645,0.05133177,-1.435415645853539,0.039919797,0.57256603,15.640343,0.14254571147433864,0.07055225,,,192.5707267832798,5.3073415527566015
3372764498162232320,98.19735521967364,20.522350367493694,-17.049673397683573,0.4334958,-6.959053121622397,0.31785375,2.2487526,19.4485,2.0742084255405615,0.7354911,,,192.5549167883323,5.284915568759718
3372764528227149952,98.2226390096591,20.53437303825265,-0.6519868674872833,0.2101392,-1.6043999368129223,0.1649365,1.1794968,18.437887,0.609777602199923,0.24126115,,,192.55496264847815,5.3114711977003966
3372764532525231616,98.21552598866207,20.53788003932627,-15.82589023086491,0.053235836,-8.833592980299517,0.04181186,1.7976379,15.920819,2.4568662678960305,0.060230605,,,192.54878627412478,5.307129888599906
3372764532525232000,98.21778604822886,20.534853245580884,2.621988814003667,0.027704597,0.2658114484912272,0.022741722,0.84747696,14.311045,0.4400154463612661,0.029495763,41.21071,8.124941,192.55245989113374,5.307640546356801
3372764532525232768,98.212566438131,20.533055681852776,-0.7401275793231582,0.056685675,-0.8726493209072049,0.04442096,0.91048145,16.074305,0.3115730042774524,0.06437994,,,192.55183835468378,5.30246941750224
